morphemes	target	prediction	target_canon	prediction_canon
i_mi_khakha	NPrePre4_NPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_NPre4_NStem	NPrePre4_BPre4_NStem
ye_m_klamo	PossConc4_BPre3_NStem	PossConc4_BPre3_NStem	PossConc4_BPre3_NStem	PossConc4_BPre3_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem
ku_nga_ehluk_a	SC15_AdvPre_VRoot_VerbTerm	SC15_Pot_VRoot_VerbTerm	SC15_AdvPre_VRoot_VerbTerm	SC15_Pot_VRoot_VerbTerm
ku_y_e	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
nga_m_chubisifundvo	AdvPre_BPre3_NStem	AdvPre_BPre3_NStem	AdvPre_BPre3_NStem	AdvPre_BPre3_NStem
lo_sekel_a	PossConc5_VRoot_VerbTerm	RelConc3_VRoot_VerbTerm	PossConc5_VRoot_VerbTerm	RelConc3_VRoot_VerbTerm
nga_ti_mali	AdvPre_BPre10_NStem	AdvPre_BPre10_NStem	AdvPre_BPre10_NStem	AdvPre_BPre10_NStem
noma	Conj	Conj	Conj	Conj
nga_li_tiko	AdvPre_BPre5_NStem	AdvPre_BPre5_NStem	AdvPre_BPre5_NStem	AdvPre_NStem
la_hulumende	PossConc5_NStem	PossConc5_NStem	PossConc5_NStem	PossConc5_NStem
.	Punc	Punc	Punc	Punc
ba_si_fazane	PossConc2_BPre7_NStem	PossConc2_BPre7_NStem	PossConc2_BPre7_NStem	PossConc2_BPre7_NStem
ku_khona	SC15_Adv	SC15_Adv	SC15_Adv	SC15_Adv
ti_hibe	BPre8_NStem	BPre8_NStem	BPre8_NStem	SC10_VRoot_VerbTerm
laba_hlangan_ile	RelConc2_VRoot_Perf	RelConc2_VRoot_Perf	RelConc2_VRoot_Perf	RelConc2_VRoot_VerbTerm
na_to	AdvPre_PronStem10	AdvPre_PronStem8	AdvPre_PronStem10	AdvPre_PronStem8
na_ba_sa_hlanganyel_a	AdvPre_SC2_ProgPre_VRoot_VerbTerm	AdvPre_SC2_Pro_VRoot_VerbTerm	AdvPre_SC2_ProgPre_VRoot_VerbTerm	AdvPre_SC2_Pro_VRoot_VerbTerm
ku_le_mi_sebenti	LocPre_Dem4_Pos1_BPre4_NStem	LocPre_Pos1_BPre4	LocPre_Dem4_Pos1_BPre4_NStem	LocPre_Pos1_BPre4
ye_lu_hlelo	PossConc4_NPre11_NStem	PossConc9_NPre11_NStem	PossConc4_NPre11_NStem	PossConc9_NPre11_NStem
?	Punc	Punc	Punc	Punc
bo_babe_ke	NPre2a_NStem_Adv	BPre2a_NStem_AuxVStem	NPre2a_NStem_Adv	SC2_OC2_SC2_VRoot_VerbTerm
bo_na	PronStem2_PronSuf	PronStem2_PronSuf	PronStem2_PronSuf	Conj
?	Punc	Punc	Punc	Punc
na_ku_njalo	AdvPre_SC15_Adv	AdvPre_OC15_Adv	AdvPre_SC15_Adv	AdvPre_SC15_Adv
,	Punc	Punc	Punc	Punc
be_ti_yini	AuxVStem_SC8_Interrog	SC2_OC10_Interrog	AuxVStem_SC8_Interrog	SC2_OC8_Interrog
leto_ti_hibe	Dem8_Pos2_NPrePre8_NStem	RelConc8_BPre8_NStem	Dem8_Pos2_NPrePre8_NStem	RelConc10_VRoot_VerbTerm
?	Punc	Punc	Punc	Punc
i_Batho	NPre9_ProperName	NPre9_ProperName	NPre9_ProperName	NPrePre4_NStem
Pele	ProperName	ProperName	ProperName	NStem
i_dzing_a	SC4_VRoot_VerbTerm	SC4_VRoot_VerbTerm	SC4_VRoot_VerbTerm	SC4_VRoot_VerbTerm
kutsi	Conj	Conj	Conj	Conj
wo_nkhe	QuantConc1_QuantStem	QuantConc3_QuantStem	QuantConc1_QuantStem	QuantConc3_QuantStem
u_mu_ntfu	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem
lo_wu_ent_a	RelConc1_OC1_VRoot_VerbTerm	RelConc3_OC3_VRoot_VerbTerm	RelConc1_OC1_VRoot_VerbTerm	RelConc3_OC3_VRoot_VerbTerm
u_mu_sebenti	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem
wa_hulumende	PossConc3_NStem	PossConc3_NStem	PossConc3_NStem	PossConc1_NStem
ku_mel_e	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
a_ti_gcabh_e	SC1_ReflPre_VRoot_VerbTerm	SC6_OC8_VRoot_VerbTerm	SC1_ReflPre_VRoot_VerbTerm	SC6_ReflPre_VRoot_VerbTerm
nge_ku_ba	AdvPre_BPre15_AuxVStem	AdvPre_SC15_AuxVStem	AdvPre_BPre15_AuxVStem	AdvPre_SC15_AuxVStem
si_sebenti	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
sa_ba_ntfu	PossConc7_BPre2_NStem	PossConc7_BPre2_NStem	PossConc7_BPre2_NStem	PossConc7_BPre2_NStem
kantsi	Conj	Conj	Conj	Conj
i_mi_gomosisekelo	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
lesi_phohlongo	RelConc7_NStem	RelConc7_NStem	RelConc7_NStem	RelConc7_NStem
le_s_e_mu_tsetfo_ini	RelConc4_PreLoc-s_LocPre_BPre3_NStem_LocSuf	RelConc9_PreLoc-s_LocPre_BPre3_NStem_LocSuf	RelConc4_PreLoc-s_LocPre_BPre3_NStem_LocSuf	RelConc9_PreLoc-s_LocPre_BPre3_NStem_LocSuf
i_ent_a	SC4_VRoot_VerbTerm	SC9_VRoot_VerbTerm	SC4_VRoot_VerbTerm	SC9_VRoot_VerbTerm
si_sekelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
lapho	Conj	Conj	Conj	Conj
ku_tfutfuk_a	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
kwa_bo_hulumende	PossConc15_BPre2a_NStem	PossConc15_BPre2a_NStem	PossConc15_BPre2a_NStem	PossConc15_BPre2a_NStem
ba_s_e_li_khaya	PossConc2a_PreLoc-s_LocPre_BPre5_NStem	PossConc2_PreLoc-s_LocPre_BPre5_NStem	PossConc2a_PreLoc-s_LocPre_BPre5_NStem	PossConc14_PreLoc-s_LocPre_BPre5_NStem
loku_condz_is_w_e	RelConc15_VRoot_CausExt_PassExt_VerbTerm	RelConc15_VRoot_CausExt_PassExt_VerbTerm	RelConc15_VRoot_CausExt_PassExt_VerbTerm	RelConc15_VRoot_CausExt_PassExt_VerbTerm
ku_ti_dzingo	BPre17_BPre10_NStem	BPre17_BPre10_NStem	BPre17_BPre10_NStem	BPre17_BPre10_NStem
ta_u_ma_mango	PossConc8_NPrePre3_BPre3_NStem	PossConc10_NPrePre3_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem
wa_n_dzawo	PossConc3_BPre9_NStem	PossConc3_BPre9_NStem	PossConc3_BPre9_NStem	PossConc3_NPre9_NStem
ku_tawu_condz_is_w_a	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm
khona	Adv	Adv	Adv	Adv
.	Punc	Punc	Punc	Punc
ngen_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	AdvPre_CausExt_VerbTerm
ti_gaba	BPre8_NStem	BPre8_NStem	BPre8_NStem	BPre8_NStem
ta_mvila-balave	PossConc8_NStem	PossConc10_NStem	PossConc8_NStem	PossConc10_NStem_NStem
u_sebent_is_a	SC1_VRoot_CausExt_VerbTerm	SC2ps_VRoot_CausExt_VerbTerm	SC1_VRoot_CausExt_VerbTerm	SC2ps_VRoot_CausExt_VerbTerm
i_data	BPre9_Foreign	NPre9_Foreign	BPre9_Foreign	SC4_VRoot_VerbTerm
projektha	NStem	NStem	NStem	NStem
,	Punc	Punc	Punc	Punc
nobe	Conj	Conj	Conj	Conj
i_projektha	NPre9_NStem	NPrePre4_NStem	NPre9_NStem	NPrePre4_NStem
ye_overhead	PossConc9_Foreign	PossConc9_Foreign	PossConc9_Foreign	PossConc9_NStem
.	Punc	Punc	Punc	Punc
uma	Conj	Conj	Conj	Conj
ni_ngana_ko	SC2pp_NegPre_PronStem15	SC2pp_NStem_RelSuf	SC2pp_NegPre_PronStem15	SC2pp_VRoot_VerbTerm_RelSuf
laba_ngen_el_e	RelConc2_VRoot_ApplExt_VerbTerm	RelConc2_VRoot_ApplExt_VerbTerm	RelConc2_VRoot_ApplExt_VerbTerm	RelConc2_VRoot_ApplExt_VerbTerm
ti_fundvo	BPre8_NStem	BPre8_NStem	BPre8_NStem	BPre8_NStem
ba_nga_sebent_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	SC2_Pot_VRoot_CausExt_VerbTerm	SC2_Pot_VRoot_CausExt_VerbTerm	SC2_Pot_VRoot_CausExt_VerbTerm
e_ma_notsi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
a_bo	PossConc6_PronStem14	PossConc6_PronStem14	PossConc6_PronStem14	PossConc6_PronStem2
a_si_fundvo	PossConc6_BPre7_NStem	PossConc6_BPre7_NStem	PossConc6_BPre7_NStem	PossConc6_BPre7_NStem
,	Punc	Punc	Punc	Punc
li_khasi	BPre5_NStem	BPre5_NStem	BPre5_NStem	BPre5_NStem
52	Num	Num	Num	Num
ku_landzel_a	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
i_n_chazelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
.	Punc	Punc	Punc	Punc
phawul_a	VRoot_VerbTerm	VRoot_VerbTerm	VRoot_VerbTerm	VRoot_VerbTerm
leso	Dem7_Pos1		Dem7_Pos1	
na_leso	AdvPre_Dem7_Pos2	AdvPre	AdvPre_Dem7_Pos2	AdvPre
si_gaba	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
u_sebent_is_a	SC2ps_VRoot_CausExt_VerbTerm	SC2ps_VRoot_CausExt_VerbTerm	SC2ps_VRoot_CausExt_VerbTerm	SC2ps_VRoot_CausExt_VerbTerm
lo_m_dvwebo	Dem3_Pos1_BPre3_NStem	RelConc3_BPre3_NStem	Dem3_Pos1_BPre3_NStem	RelConc3_BPre3_NStem
.	Punc	Punc	Punc	Punc
ku_khulum_is_an_a	BPre15_VRoot_CausExt_RecipExt_VerbTerm	BPre15_VRoot_CausExt_RecipExt_VerbTerm	BPre15_VRoot_CausExt_RecipExt_VerbTerm	BPre15_VRoot_CausExt_RecipExt_VerbTerm
yi_i_n_chubo	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPre9_NStem
ya_ku_ts_i	PossConc9_BPre15_VRoot_VerbTerm	PossConc9_BPre15_VRoot_VerbTerm	PossConc9_BPre15_VRoot_VerbTerm	PossConc9_BPre15_VRoot_VerbTerm
e_ma_cembu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
la_lw_el_a	PossConc6_VRoot_ApplExt_VerbTerm	RelConc6_VRoot_ApplExt_VerbTerm	PossConc6_VRoot_ApplExt_VerbTerm	RelConc6_VRoot_ApplExt_VerbTerm
i_mi_phumela	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
le_ye_ehluk_en_e	RelConc4_Pres_VRoot_RecipExt_VerbTerm	RelConc4_Pres_VRoot_RecipExt_VerbTerm	RelConc4_Pres_VRoot_RecipExt_VerbTerm	RelConc4_Pres_VRoot_RecipExt_VerbTerm
a_lw_ile	SC6_VRoot_Perf	SC6_VRoot_Perf	SC6_VRoot_Perf	SC6_VRoot_VerbTerm
u_mu_phumela	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem
la_vum_el_an_ile	RelConc6_VRoot_ApplExt_RecipExt_Perf	RelConc6_VRoot_ApplExt_RecipExt_Perf	RelConc6_VRoot_ApplExt_RecipExt_Perf	PossConc5_VRoot_ApplExt_RecipExt_Perf
nga_wo	AdvPre_PronStem6	AdvPre_PronStem6	AdvPre_PronStem6	AdvPre_PronStem6
,	Punc	Punc	Punc	Punc
nga_leyo_n_dlela	AdvPre_Dem9_Pos2_BPre9_NStem	AdvPre_Pos1_BPre9	AdvPre_Dem9_Pos2_BPre9_NStem	AdvPre_Pos1
ba_shiy_el_an_e	SC2_VRoot_ApplExt_RecipExt_VerbTerm	SC2_VRoot_ApplExt_RecipExt_VerbTerm	SC2_VRoot_ApplExt_RecipExt_VerbTerm	SC2_VRoot_ApplExt_RecipExt_VerbTerm
lu_ati	BPre11_NStem	BPre11_NStem	BPre11_NStem	BPre11_NStem
,	Punc	Punc	Punc	Punc
ku_sombulul_a	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
tin_kinga	BPre10_NStem	BPre10_NStem	BPre10_NStem	BPre10_NStem
,	Punc	Punc	Punc	Punc
ba_sebent_is_an_e	SC2_VRoot_CausExt_RecipExt_VerbTerm	SC2_VRoot_CausExt_RecipExt_VerbTerm	SC2_VRoot_CausExt_RecipExt_VerbTerm	SC2_VRoot_CausExt_RecipExt_VerbTerm
,	Punc	Punc	Punc	Punc
ba_hlangan_e	SC2_VRoot_VerbTerm	SC2a_VRoot_VerbTerm	SC2_VRoot_VerbTerm	SC2a_VRoot_VerbTerm
ba_niket_an_e	SC2_VRoot_RecipExt_VerbTerm	SC2_VRoot_RecipExt_VerbTerm	SC2_VRoot_RecipExt_VerbTerm	SC2_VRoot_RecipExt_VerbTerm
ti_khundla	BPre8_NStem	BPre8_NStem	BPre8_NStem	BPre8_NStem
,	Punc	Punc	Punc	Punc
ba_fun_e	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm
,	Punc	Punc	Punc	Punc
lapho	Adv	Conj	Adv	Conj
ku_nga_khon_akal_a	SC15_Pot_VRoot_NeutExt_VerbTerm	SC15_Pot_VRoot_NeutExt_VerbTerm	SC15_Pot_VRoot_NeutExt_VerbTerm	SC15_Pot_VRoot_NeutExt_VerbTerm
,	Punc	Punc	Punc	Punc
ku_hlangan_is_a	BPre15_VRoot_CausExt_VerbTerm	BPre15_VRoot_CausExt_VerbTerm	BPre15_VRoot_CausExt_VerbTerm	BPre15_VRoot_CausExt_VerbTerm
i_n_tsandvo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
.	Punc	Punc	Punc	Punc
ta_ku_khangis_a	PossConc10_BPre15_VRoot_VerbTerm	PossConc10_BPre15_VRoot_VerbTerm	PossConc10_BPre15_VRoot_VerbTerm	PossConc10_BPre15_VRoot_VerbTerm
-	Punc	Punc	Punc	Punc
sebent_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm
lu_chungechunge	BPre11_NStem	BPre11_NStem	BPre11_NStem	BPre11_NStem
kwa_tin_dlela	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem
ta_ku_at_is_a	PossConc10_OC15_VRoot_CausExt_VerbTerm	PossConc10_OC15_VRoot_CausExt_VerbTerm	PossConc10_OC15_VRoot_CausExt_VerbTerm	PossConc10_OC15_VRoot_CausExt_VerbTerm
e_ma_komidi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
e_ma_wadi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
,	Punc	Punc	Punc	Punc
i_mi_mango	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
,	Punc	Punc	Punc	Punc
ba_holi	BPre2_NStem	BPre2_NStem	BPre2_NStem	BPre2_NStem
ba_i_n_dzabuko	PossConc2_NPrePre9_BPre9_NStem	PossConc14_NPrePre9_BPre9_NStem	PossConc2_NPrePre9_BPre9_NStem	PossConc14_NPrePre9_BPre9_NStem
kanye	Conj	Conj	Conj	Conj
ne_ba_holi	AdvPre_BPre2_NStem	AdvPre_BPre2_NStem	AdvPre_BPre2_NStem	AdvPre_BPre2_NStem
ba_mi_bono	PossConc2_BPre4_NStem	PossConc2_BPre4_NStem	PossConc2_BPre4_NStem	PossConc2_NPrePre4_BPre4_NStem
nga_kutsi	AdvPre_Conj	AdvPre_Conj	AdvPre_Conj	AdvPre_Conj
ku_tawu_ba	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem
khona	Adv	Adv	Adv	Adv
i_n_chubo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
ya_CBP	PossConc9_Abbr	PossConc9_Abbr	PossConc9_Abbr	PossConc9_Abbr
.	Punc	Punc	Punc	Punc
e_tin_dzawo_ini	LocPre_BPre10_NStem_LocSuf	LocPre_BPre10_NStem_LocSuf	LocPre_BPre10_NStem_LocSuf	LocPre_BPre10_NStem_LocSuf
ta_s_e_ma_dolobha_ini	PossConc10_PreLoc-s_LocPre_BPre6_NStem_LocSuf	PossConc10_PreLoc-s_LocPre_BPre6_NStem_LocSuf	PossConc10_PreLoc-s_LocPre_BPre6_NStem_LocSuf	PossConc10_PreLoc-s_LocPre_BPre6_NStem_LocSuf
e_ma_lunga	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
eli_komidi	RelConc5_NStem	RelConc5_NStem	RelConc5_NStem	PossConc6_BPre5_NStem
le_li_wadi	Dem4_Pos1_BPre5_NStem	PossConc5_BPre5_NStem	Dem4_Pos1_BPre5_NStem	PossConc5_BPre5_NStem
ku_mel_e	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
a_melwe	NPrePre6_NStem	NPrePre6_NStem	NPrePre6_NStem	SC6_VRoot_PassExt_VerbTerm
li_cembu	BPre5_NStem	BPre5_NStem	BPre5_NStem	BPre5_NStem
la_loku_tsit_e	PossConc5_RelConc15_Intrans_VerbTerm	PossConc5_RelConc15_VRoot_VerbTerm	PossConc5_RelConc15_Intrans_VerbTerm	RelConc6_RelConc15_RelStem
