morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
zi_setyenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm
ku_ma_candelo	LocPre_NPrePre6_BPre6_NStem	LocPre_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	LocPre_BPre6_NStem
o_shishino	PossConc6_NStem	LocPre_NStem	PossConc6_NStem	LocPre_NStem
.	Punc	PUNC	Punc	PUNC
Ng_okwa_lapha	AdvPre_AdvPre_Adv	AdvPre_NPas_Adv	AdvPre_AdvPre_Adv	AdvPre_NStem_NStem
e_Mzantsi	LocPre_ProperName	LocPre_ProperName	LocPre_ProperName	LocPre_ProperName
Afrika	ProperName	ProperName	ProperName	ProperName
a_ku_kho	NegPre_CopPre_Adv	NegPre_OC15_Adv	NegPre_CopPre_Adv	NegPre_OC15_PronStem17
si_khokelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
sa_kwa_rhulumente	PossConc7_LocPre_NStem	PossConc7_PossConc15_NStem	PossConc7_LocPre_NStem	PossConc7_BPre15_NStem
si_lungisel_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_PassExt_VerbTerm
u_kuba	Conj	NPrePre1a_NStem	Conj	NPrePre1a_NStem
si_setyenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm
ng_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_PronStem9
kw_eli	LocPre_Dem5_Pos1	PossConc15_NStem	LocPre_Dem5_Pos1	BPre15_NStem
candelo	NStem	NStem	NStem	NStem
;	Punc	PUNC	Punc	PUNC
i_n_to	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_PronStem10
ke	Conj	Adv	Conj	Adv
leyo	Dem9_Pos2	CDEM04	Dem9_Pos2	CDEM04
e_theth_a	RelConc9_VRoot_VerbTerm	SC6_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	SC6_VRoot_VerbTerm
u_kuba	Conj	NPrePre1a_NStem	Conj	NPrePre1a_NStem
u_ya	SC2ps_Fut	NPrePre1a_NStem	SC2ps_Fut	NPrePre1a_NStem
ku_hlal_a	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
u_ba_khona	CopPre_CopPre_Adv	SC3_BPre2_Adv	CopPre_CopPre_Adv	SC2ps_BPre2_Adv
u_mahluko	NPrePre1a_NStem	NPrePre1a_NStem	NPrePre1a_NStem	NPrePre1a_NStem
kw_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem	PossConc15_NPrePre4_BPre7_NStem	LocPre_NPrePre8_BPre8_NStem	PossConc15_BPre4_NStem_NStem
ezi_setyenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
ka_rhulumente	PossKA_NPrePre1a_NStem	AdvPre_NStem	PossKA_NPrePre1a_NStem	AdvPre_NStem
.	Punc	PUNC	Punc	PUNC
A_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
e_e_komiti	PossConc6_NPrePre10_BPre10_NStem	PossConc6_LocPre_NStem	PossConc6_NPrePre10_BPre10_NStem	PossConc6_PossConc6_NStem
ze_e_wadi	PossConc10_NPrePre10_BPre10_NStem	PossConc9_LocPre_NStem	PossConc10_NPrePre10_BPre10_NStem	PossConc8_LocPre_NStem
ku_funek_a	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
a_be	CopPre_Cop	SC1_AuxVStem	CopPre_Cop	SC1_AuxVStem
no_lw_az_i	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm
nge_Project	AdvPre_NPrePre9_Foreign	AdvPre_Foreign	AdvPre_NPrePre9_Foreign	AdvPre_Foreign
Cycle	Foreign	ProperName	Foreign	ProperName
Management	Foreign	Foreign	Foreign	Foreign
(	Punc	PUNC	Punc	PUNC
PC_M	Abbr	Abbr_Abbr	Abbr	Abbr_M[Foreign]
)	Punc	PUNC	Punc	PUNC
,	Punc	PUNC	Punc	PUNC
u_Lawulo	NPrePre11_NStem	NPrePre1a_NStem	NPrePre11_NStem	NPrePre1a_NStem
lo_M_jikelo	PossConc11_NPrePre3_BPre3_NStem	RelConc3_BPre3_NStem	PossConc11_NPrePre3_BPre3_NStem	RelConc3_BPre3_NStem
we_Projekthi	PossConc3_NPrePre9_NStem	PossConc3_NStem	PossConc3_NPrePre9_NStem	PossConc3_NStem
,	Punc	PUNC	Punc	PUNC
njeng_oko	AdvPre_Dem15_Pos2	AdvPre_NStem	AdvPre_Dem15_Pos2	AdvPre_NStem
i_s_e_so_na	NPrePre9_SC7_PronStem7_PronSuf	SC4_PreLocs_LocPre_PronStem7_PronSuf	NPrePre9_SC7_PronStem7_PronSuf	SC9_PreLocs_LocPre_PronStem7_NStem
si_khokelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
si_kholis_e	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem
u_ku_setyenz_is_w_a	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	SC1a_OC15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	SC3_OC15_VRoot_CausExt_PassExt_VerbTerm
.	Punc	PUNC	Punc	PUNC
I_zi_gaba	NPrePre8_BPre8_NStem	NPrePre9_BPre7_NStem	NPrePre8_BPre8_NStem	NPrePre4_BPre7_NStem
nge_zi_gaba	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre7_NStem	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre7_NStem
zo_m_jikelo	PossConc8_NPrePre3_BPre3_NStem	PossConc4_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem	PossConc9_BPre3_NStem
we_projekthi	PossConc3_NPrePre9_NStem	PossConc3_NStem	PossConc3_NPrePre9_NStem	PossConc3_NStem
zi_se_no_kw_ahluk_a	SC10_Pro_AdvPre_VRoot_VerbTerm	SC8_Pro_AdvPre_BPre15_VRoot_VerbTerm	SC10_Pro_AdvPre_VRoot_VerbTerm	SC2pp_Pres_AdvPre_BPre15_VRoot_VerbTerm
nge_n_dlel_a	AdvPre_NPrePre9_BPre9_NStem	AdvPre_BPre9_VRoot_VerbTerm	AdvPre_NPrePre9_BPre9_NStem	AdvPre_BPre9_VRoot_VerbTerm
ez_ahlul_a__hlul_w_a	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	SC9_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	SC1a_VRoot_VerbTerm_VRoot_PassExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9
na_ng_a_ma_gama	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_VerbTerm_BPre6_NStem
a_zo	PossConc6_PronStem10	PossConc6_PronStem4	PossConc6_PronStem10	PossConc6_PronStem6
,	Punc	PUNC	Punc	PUNC
ng_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem	AdvPre_RelConc15_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem	AdvPre_RelConc15_BPre2_NStem
be_n_kxaso__mali	PossConc2_NPrePre9_BPre9_NStem_NStem	PossConc2_BPre9_NStem_NStem	PossConc2_NPrePre9_BPre9_NStem_NStem	PossConc2_BPre9_NStem_NStem
okanye	Conj	Conj	Conj	Conj
ng_okw_a_ma_sebe	AdvPre_AdvPre_BPre6_NStem	AdvPre_VRoot_VerbTerm_BPre6_NStem	AdvPre_AdvPre_BPre6_NStem	AdvPre_RelConc15_NPrePre6_BPre6_NStem
ka_rhulumente	PossKA_NPrePre1a_NStem	AdvPre_NStem	PossKA_NPrePre1a_NStem	AdvPre_NStem
.	Punc	PUNC	Punc	PUNC
I_ngaba	SC9_Interrog	BPre4_NStem	SC9_Interrog	BPre4_NStem
a_ma_khosikazi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm
na_yo	AdvPre_PronStem4	AdvPre_PronStem9	AdvPre_PronStem4	AdvPre_PronStem9
na_yi_phi	AdvPre_EnumConc9_EnumStem	AdvPre_CopPre_EnumStem	AdvPre_EnumConc9_EnumStem	AdvPre_CopPre_EnumStem
na	Interrog	AdvPre	Interrog	AdvPre
i_mi_qobo	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
okanye	Conj	Conj	Conj	Conj
i_zi_thintelo	NPrePre8_BPre8_NStem	NPrePre4_BPre7_NStem	NPrePre8_BPre8_NStem	NPrePre4_Pres_NStem
e_ku_thath_e_ni	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_OC15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	SC9_OC15_VRoot_VerbTerm_LocSuf
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
kw_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem	PossConc15_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	PossConc15_NPrePre4_BPre4_NStem
ye_n_kqubo	PossConc4_NPrePre9_BPre9_NStem	PossConc9_BPre9_NStem	PossConc4_NPrePre9_BPre9_NStem	PossConc9_BPre9_NStem
?	Punc	PUNC	Punc	PUNC
A_ma_doda	NPrePre6_BPre6_NStem	PossConc6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
wo_na	PronStem6_PronSuf	PronStem3_PronSuf	PronStem6_PronSuf	PronStem3_PronSuf
?	Punc	PUNC	Punc	PUNC
U_kuba	Conj	NPrePre1a_NStem	Conj	NPrePre1_NStem
ku_njalo	CopPre_Adv	SC15_Adv	CopPre_Adv	SC15_Adv
,	Punc	PUNC	Punc	PUNC
olu_phi	RelConc11_EnumStem	RelConc11_EnumStem	RelConc11_EnumStem	RelConc11_EnumStem
u_hlobo	NPrePre11_NStem	NPrePre1a_NStem	NPrePre11_NStem	NPrePre1a_NStem
?	Punc	PUNC	Punc	PUNC
I_Batho	NPrePre9_ProperName	NPre9_ProperName	NPrePre9_ProperName	NPre9_ProperName
Pele	ProperName	ProperName	ProperName	ProperName
i_dinga	SC9_VRoot_VerbTerm	NPrePre4_NStem	SC9_VRoot_VerbTerm	BPre9_NStem
u_kuba	Conj	NPrePre1a_NStem	Conj	NPrePre1a_NStem
'	Punc	PUNC	Punc	PUNC
wo_nke	QuantConc1_QuantStem	QuantConc3_QuantStem	QuantConc1_QuantStem	QuantConc3_Adv
u_m_ntu	NPrePre1_BPre1_NStem	NPrePre3_BPre3_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem
o_sebenz_a	RelConc1_VRoot_VerbTerm	SC3_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm	SC6_VRoot_VerbTerm
kw_i_n_konzo	LocPre_NPrePre9_BPre9_NStem	PossConc15_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	PossConc15_NPrePre9_BPre9_NStem
yo_lu_ntu	PossConc9_NPrePre11_BPre11_NStem	PossConc9_BPre11_NStem	PossConc9_NPrePre11_BPre11_NStem	PossConc4_BPre11_NStem
a_be	CopPre_Cop	SC1_AuxVStem	CopPre_Cop	SC1_AuxVStem
ne_qhayi_ya	AdvPre_NPrePre5_BPre5_NStem	NStem_NStem_NStem	AdvPre_NPrePre5_BPre5_NStem	AdvPre_BPre11_Pres
ngo_kuba	AdvPre_Conj	AdvPre_NStem	AdvPre_Conj	AdvPre_NStem
ng_u_m_khonzi	CopPre_NPrePre1_BPre1_NStem	NPrePre1_NPrePre1_BPre3_NStem	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre1_BPre1_NStem
wa_ba_ntu	PossConc1_NPrePre2_BPre2_NStem	PossConc3_BPre2_NStem	PossConc1_NPrePre2_BPre2_NStem	PossConc1_BPre2_NStem
'	Punc	PUNC	Punc	PUNC
u_kuze	Conj	SC3_Conj	Conj	NPrePre1a_NStem
i_mi_thetho__si_se_ko	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_BPre7_PossConc7_RelSuf	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_BPre7_PossConc7_RelSuf
esi_bhozo	RelConc7_NPrePre7_BPre7_NStem	RelConc7_NStem	RelConc7_NPrePre7_BPre7_NStem	RelConc7_NStem
e_m_is_w_e	RelConc4_VRoot_CausExt_PassExt_VerbTerm	LocPre_VRoot_CausExt_PassExt_VerbTerm	RelConc4_VRoot_CausExt_PassExt_VerbTerm	LocPre_VRoot_CausExt_PassExt_VerbTerm
ku_wiso__m_thetho	LocPre_NStem_BPre3_NStem	BPre17_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem
i_be	CopPre_Cop	SC1_AuxVStem	CopPre_Cop	SC1_AuxVStem
s_i_si_se_ko	CopPre_NPrePre7_BPre7_NStem	PossConc7_SC4_BPre7_Pro_RelSuf	CopPre_NPrePre7_BPre7_NStem	PreLocs_OC7_BPre7_Pro_RelSuf
esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_NegPre_NPrePre1_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre1_BPre3_NStem
wo_phuhliso	PossConc3_NPrePre11_BPre11_NStem	PronStem6_NStem	PossConc3_NPrePre11_BPre11_NStem	RelConc3_NStem
lu_ka_rhulumente	PossConc11_PossKA_NStem	BPre11_AdvPre_NStem	PossConc11_PossKA_NStem	BPre11_AdvPre_NStem
we_n_gingqi	PossConc1a_NPrePre9_BPre9_NStem	PossConc3_BPre9_NStem	PossConc1a_NPrePre9_BPre9_NStem	PossConc3_BPre9_NStem
a_pho	Dem16_Pos2	PossConc6_NStem	Dem16_Pos2	PossConc6_NStem
i_zi_dingo	NPrePre8_BPre8_NStem	NPrePre4_BPre7_NStem	NPrePre8_BPre8_NStem	NPrePre4_BPre4_NStem
za_ba_hlali	PossConc2_NPrePre2_BPre2_NStem	PossConc8_BPre2_NStem	PossConc2_NPrePre2_BPre2_NStem	AdvPre_BPre2_NStem
zi_nga_qal_is_a	SC8_Pot_VRoot_CausExt_VerbTerm	SC10_Pot_VRoot_CausExt_VerbTerm	SC8_Pot_VRoot_CausExt_VerbTerm	SC2pp_Pot_VRoot_CausExt_VerbTerm
u_kw_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	SC3_OC15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	SC3_BPre15_VRoot_PassExt_VerbTerm
khona	Adv	Adv	Adv	Adv
.	Punc	PUNC	Punc	PUNC
U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	SC1a_OC15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	SC2ps_OC15_VRoot_CausExt_VerbTerm
ng_a_ma_bakal_a	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_VRoot_VerbTerm	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_VRoot_VerbTerm
e_Mephu	PossConc6_NPrePre9_NStem	LocPre_ProperName	PossConc6_NPrePre9_NStem	LocPre_ProperName
ye_n_dlel_a	PossConc9_NPrePre9_BPre9_NStem	PossConc4_BPre9_VRoot_VerbTerm	PossConc9_NPrePre9_BPre9_NStem	PossConc9_BPre9_VRoot_VerbTerm
ngo_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_OC15_VRoot_CausExt_VerbTerm
i_dath_a	NPrePre9_NStem	SC9_VRoot_VerbTerm	NPrePre9_NStem	SC9_VRoot_VerbTerm
projektha	NStem	NStem	NStem	NStem
,	Punc	PUNC	Punc	PUNC
okanye	Conj	Conj	Conj	Conj
i_projektha	NPrePre9_NStem	NPre9_NStem	NPrePre9_NStem	NPrePre4_NStem
e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm	SC6_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm	SC6_VRoot_CausExt_VerbTerm
phezu	Adv	Adv	Adv	Adv
kwe_e_n_tloko	PossConc15_NPrePre10_BPre10_NStem	PossConc15_LocPre_BPre9_NStem	PossConc15_NPrePre10_BPre10_NStem	PossConc15_LocPre_BPre9_NStem
.	Punc	PUNC	Punc	PUNC
Xa	Conj	PronStem9	Conj	Adv
u_nge_na_ba_thathi__n_xaxheba	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre1a_NegPre_AdvPre_BPre2_NStem_BPre9_NStem	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre1a_NegPre_AdvPre_BPre2_NStem_NPre9_NStem
u_nga_sebenz_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	SC2ps_Pot_VRoot_CausExt_VerbTerm	SC2_Pot_VRoot_CausExt_VerbTerm	SC2ps_Pot_VRoot_CausExt_VerbTerm
a_ma_nqaku	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
esi_fundo	PossConc6_NPrePre7_BPre7_NStem	RelConc7_NStem	PossConc6_NPrePre7_BPre7_NStem	RelConc7_NStem
abo	PossConc6_PronStem2	CDEM02	PossConc6_PronStem2	CDEM02
,	Punc	PUNC	Punc	PUNC
i_phepha	NPrePre5_BPre5_NStem	NPre9_NStem	NPrePre5_BPre5_NStem	NPre9_NStem
la_ma__52	PossConc5_BPre6_Num	PossConc5_BPre6_Num	PossConc5_BPre6_Num	RelConc6_BPre6_Num
u_ku_landela	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre1a_BPre15_NStem	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre3_OC15_NStem
i_n_kcazelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
.	Punc	PUNC	Punc	PUNC
Ng_oku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_RelConc15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	CopPre_RelConc15_VRoot_CausExt_VerbTerm
i_sa_zobe	NPrePre7_BPre7_NStem	NPrePre4_Pro_NStem	NPrePre7_BPre7_NStem	BPre4_Pro_NStem
u_chong_a	SC2pp_VRoot_VerbTerm	SC3_VRoot_VerbTerm	SC2pp_VRoot_VerbTerm	SC3_VRoot_VerbTerm
i_bakal_a	NPrePre5_BPre5_NStem	SC9_VRoot_VerbTerm	NPrePre5_BPre5_NStem	SC9_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	AdvPre_AdjPref5_AdjStem	AdvPre_EnumConc5_EnumStem	AdvPre_AdjPref5_AdjStem
.	Punc	PUNC	Punc	PUNC
U_thetha_thethwano	NPrePre11_NStem_NStem	NPrePre3_NStem_NStem	NPrePre11_NStem_NStem	NPrePre3_NStem_NStem
y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem
a_pho	Dem16_Pos2	PossConc6_NStem	Dem16_Pos2	PossConc6_NStem
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
a_phikis_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm
ngezi_phumo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NStem	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NStem
ez_ahluken_e_yo	RelConc8_VRoot_VerbTerm_RelSuf	RelConc9_VRoot_VerbTerm_RelSuf	RelConc8_VRoot_VerbTerm_RelSuf	SC2_VRoot_VerbTerm_PronStem9
e_ku_fikelel_w_e	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	PossConc6_OC15_VRoot_PassExt_VerbTerm	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	LocPre_OC15_VRoot_PassExt_VerbTerm
ku_zo	LocPre_PronStem8	LocPre_PronStem6	LocPre_PronStem8	LocPre_PronStem6
e_ku_fuman_e_ni	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_OC15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf
i_si_phumo	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
kwaye	Conj	Conj	Conj	Conj
a_se_no_kw_ab_el_an_a	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_CopPre_OC15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_AdvPre_OC15_VRoot_ApplExt_RecipExt_VerbTerm
ngo_lw_az_i	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm
,	Punc	PUNC	Punc	PUNC
u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm	SC3_OC15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	SC2ps_OC15_VRoot_VerbTerm
i_n_gxaki	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
,	Punc	PUNC	Punc	PUNC
u_ku_hlangabez_ana	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	SC2ps_OC15_VRoot_DimSuf	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	SC3_OC15_VRoot_DimSuf
,	Punc	PUNC	Punc	PUNC
u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm	SC3_OC15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	SC3_BPre15_VRoot_VerbTerm
no_ku_rhweb_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm
nge_zi_khundla	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre7_NStem	AdvPre_NPrePre8_BPre8_NStem	AdvPre_Pres_NStem
,	Punc	PUNC	Punc	PUNC
xa	Conj	PronStem9	Conj	Adv
ku_fanel_ek_ile	SC15_VRoot_NeutExt_Perf_VerbTerm	SC15_VRoot_NeutExt_Perf	SC15_VRoot_NeutExt_Perf_VerbTerm	LocPre_VRoot_NPas_Perf
,	Punc	PUNC	Punc	PUNC
