morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ng_okwa_lapha	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv
e_Mzantsi	LocPre_ProperName	LocPre_ProperName	LocPre_ProperName	LocPre_ProperName
Afrika	ProperName	ProperName	ProperName	ProperName
a_ku_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	NegPre_CopPre_Adv	NegPre_CopPre_Adv
si_khokelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
sa_kwa_rhulumente	PossConc7_LocPre_NStem	PossConc7_PossConc15_NStem	PossConc7_LocPre_NStem	PossConc7_PossKA_NStem
si_lungisel_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_PassExt_VerbTerm
u_kuba	Conj	NPrePre15_Conj	Conj	Conj_Conj
si_setyenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm
ng_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf
kw_eli	LocPre_Dem5_Pos1	PossConc15_CDEM05	LocPre_Dem5_Pos1	LocPre_RelConc5
candelo	NStem	NStem	NStem	NStem
;	Punc	PUNC	Punc	PUNC
i_n_to	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
ke	Conj	Conj	Conj	Conj
leyo	Dem9_Pos2	CDEM09	Dem9_Pos2	CDEM09
e_theth_a	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm
u_kuba	Conj	NPrePre15_Conj	Conj	Conj_Conj
u_ya	SC2ps_Fut	SC1_Fut	SC2ps_Fut	SC1_Fut
ku_hlal_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
u_ba_khona	CopPre_CopPre_Adv	CopPre_CopPre_Adv	CopPre_CopPre_Adv	CopPre_CopPre_Adv
u_mahluko	NPrePre1a_NStem	NPrePre3_NStem	NPrePre1a_NStem	NPrePre1a_NStem
kw_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem
ezi_setyenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem
ka_rhulumente	PossKA_NPrePre1a_NStem	PossKA_NStem	PossKA_NPrePre1a_NStem	PossKA_NStem
.	Punc	PUNC	Punc	PUNC
A_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
e_e_komiti	PossConc6_NPrePre10_BPre10_NStem	PossConc6_PossConc6_NStem	PossConc6_NPrePre10_BPre10_NStem	PossConc6_PossConc6_NStem
ze_e_wadi	PossConc10_NPrePre10_BPre10_NStem	PossConc10_PossConc6_NStem	PossConc10_NPrePre10_BPre10_NStem	PossConc10_NPrePre10_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
a_be	CopPre_Cop	CopPre_Cop	CopPre_Cop	CopPre_Cop
no_lw_az_i	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm
nge_Project	AdvPre_NPrePre9_Foreign	AdvPre_Foreign	AdvPre_NPrePre9_Foreign	AdvPre_Foreign
Cycle	Foreign	Foreign	Foreign	Foreign
Management	Foreign	Foreign	Foreign	Foreign
(	Punc	PUNC	Punc	PUNC
PC_M	Abbr	Abbr_Abbr	Abbr	Abbr_Abbr
)	Punc	PUNC	Punc	PUNC
,	Punc	PUNC	Punc	PUNC
u_Lawulo	NPrePre11_NStem	NPrePre11_NStem	NPrePre11_NStem	NPrePre11_NStem
lo_M_jikelo	PossConc11_NPrePre3_BPre3_NStem	PossConc5_BPre3_NStem	PossConc11_NPrePre3_BPre3_NStem	PossConc11_BPre3_NStem
we_Projekthi	PossConc3_NPrePre9_NStem	PossConc3_NStem	PossConc3_NPrePre9_NStem	PossConc3_NStem
,	Punc	PUNC	Punc	PUNC
njeng_oko	AdvPre_Dem15_Pos2	AdvPre_ADV	AdvPre_Dem15_Pos2	AdvPre_AdvPre
i_s_e_so_na	NPrePre9_SC7_PronStem7_PronSuf	CopPre_PreLocs_LocPre_PronStem7_PronSuf	NPrePre9_SC7_PronStem7_PronSuf	CopPre_PreLocs_LocPre_NStem_PronSuf
si_khokelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	BPre7_NStem
si_kholis_e	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem
u_ku_setyenz_is_w_a	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
.	Punc	PUNC	Punc	PUNC
I_zi_gaba	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem
nge_zi_gaba	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre8_NStem
zo_m_jikelo	PossConc8_NPrePre3_BPre3_NStem	PossConc10_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem	PossConc10_BPre3_NStem
we_projekthi	PossConc3_NPrePre9_NStem	PossConc3_NStem	PossConc3_NPrePre9_NStem	PossConc3_NStem
zi_se_no_kw_ahluk_a	SC10_Pro_AdvPre_VRoot_VerbTerm	SC10_ProgPre_AdvPre_BPre15_VRoot_VerbTerm	SC10_Pro_AdvPre_VRoot_VerbTerm	SC10_Pro_AdvPre_BPre15_VRoot_VerbTerm
nge_n_dlel_a	AdvPre_NPrePre9_BPre9_NStem	AdvPre_BPre9_VRoot_VerbTerm	AdvPre_NPrePre9_BPre9_NStem	AdvPre_BPre9_VRoot_VerbTerm
ez_ahlul_a__hlul_w_a	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9
na_ng_a_ma_gama	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem
a_zo	PossConc6_PronStem10	PossConc6_PronStem10	PossConc6_PronStem10	PossConc6_PronStem10
,	Punc	PUNC	Punc	PUNC
ng_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem
be_n_kxaso__mali	PossConc2_NPrePre9_BPre9_NStem_NStem	PossConc14_BPre9_NStem_NStem	PossConc2_NPrePre9_BPre9_NStem_NStem	PossConc2_BPre9_NStem_NStem
okanye	Conj	Conj	Conj	Conj
ng_okw_a_ma_sebe	AdvPre_AdvPre_BPre6_NStem	AdvPre_AdvPre_NPrePre6_BPre6_NStem	AdvPre_AdvPre_BPre6_NStem	AdvPre_AdvPre_NPrePre6_BPre6_NStem
ka_rhulumente	PossKA_NPrePre1a_NStem	PossKA_NStem	PossKA_NPrePre1a_NStem	PossKA_NStem
.	Punc	PUNC	Punc	PUNC
I_ngaba	SC9_Interrog	SC9_Interrog	SC9_Interrog	SC9_Interrog
a_ma_khosikazi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm
na_yo	AdvPre_PronStem4	AdvPre_PronStem9	AdvPre_PronStem4	AdvPre_PronStem9
na_yi_phi	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem
na	Interrog	Interrog	Interrog	Interrog
i_mi_qobo	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
okanye	Conj	Conj	Conj	Conj
i_zi_thintelo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem
e_ku_thath_e_ni	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
kw_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem
ye_n_kqubo	PossConc4_NPrePre9_BPre9_NStem	PossConc9_BPre9_NStem	PossConc4_NPrePre9_BPre9_NStem	PossConc9_BPre9_NStem
?	Punc	PUNC	Punc	PUNC
A_ma_doda	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
wo_na	PronStem6_PronSuf	PronStem3_PronSuf	PronStem6_PronSuf	PronStem3_PronSuf
?	Punc	PUNC	Punc	PUNC
U_kuba	Conj	NPrePre15_Conj	Conj	NPrePre15_Conj
ku_njalo	CopPre_Adv	CopPre_Adv	CopPre_Adv	CopPre_Adv
,	Punc	PUNC	Punc	PUNC
olu_phi	RelConc11_EnumStem	RelConc11_Interrog	RelConc11_EnumStem	RelConc11_Interrog
u_hlobo	NPrePre11_NStem	NPrePre11_NStem	NPrePre11_NStem	NPrePre11_NStem
?	Punc	PUNC	Punc	PUNC
I_Batho	NPrePre9_ProperName	NPrePre9_ProperName	NPrePre9_ProperName	NPrePre9_ProperName
Pele	ProperName	ProperName	ProperName	ProperName
i_dinga	SC9_VRoot_VerbTerm	NPrePre5_NStem	SC9_VRoot_VerbTerm	NPrePre5_NStem
u_kuba	Conj	CopPre_Conj	Conj	Conj_Conj
'	Punc	PUNC	Punc	PUNC
wo_nke	QuantConc1_QuantStem	QuantConc1_QuantStem	QuantConc1_QuantStem	QuantConc1_QuantStem
u_m_ntu	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem
o_sebenz_a	RelConc1_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm
kw_i_n_konzo	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem
yo_lu_ntu	PossConc9_NPrePre11_BPre11_NStem	PossConc4_BPre11_NStem	PossConc9_NPrePre11_BPre11_NStem	PossConc9_BPre11_NStem
a_be	CopPre_Cop	CopPre_Cop	CopPre_Cop	CopPre_Cop
ne_qhayi_ya	AdvPre_NPrePre5_BPre5_NStem	AdvPre_BPre5_VerbTerm	AdvPre_NPrePre5_BPre5_NStem	AdvPre_BPre5_NStem
ngo_kuba	AdvPre_Conj	AdvPre_Conj	AdvPre_Conj	AdvPre_Conj
ng_u_m_khonzi	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre3_BPre3_NStem
wa_ba_ntu	PossConc1_NPrePre2_BPre2_NStem	PossConc3_BPre2_NStem	PossConc1_NPrePre2_BPre2_NStem	PossConc3_BPre2_NStem
'	Punc	PUNC	Punc	PUNC
u_kuze	Conj	NPrePre15_BPre15	Conj	NPrePre15_Conj
i_mi_thetho__si_se_ko	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_CopPre_Pro_PronStem15	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_BPre7_Pro_PronStem15
esi_bhozo	RelConc7_NPrePre7_BPre7_NStem	RelConc7_RelStem	RelConc7_NPrePre7_BPre7_NStem	RelConc7_RelStem
e_m_is_w_e	RelConc4_VRoot_CausExt_PassExt_VerbTerm	RelConc4_VRoot_CausExt_PassExt_VerbTerm	RelConc4_VRoot_CausExt_PassExt_VerbTerm	RelConc9_VRoot_CausExt_PassExt_VerbTerm
ku_wiso__m_thetho	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem
i_be	CopPre_Cop	SC9_Cop	CopPre_Cop	SC9_Cop
s_i_si_se_ko	CopPre_NPrePre7_BPre7_NStem	CopPre_NPrePre7_BPre7_Pro_PronStem15	CopPre_NPrePre7_BPre7_NStem	CopPre_NPrePre7_Pro_Pro_PronStem15
esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem
wo_phuhliso	PossConc3_NPrePre11_BPre11_NStem	PossConc3_BPre11	PossConc3_NPrePre11_BPre11_NStem	PossConc3_BPre11
lu_ka_rhulumente	PossConc11_PossKA_NStem	PossConc11_PossKA_NStem	PossConc11_PossKA_NStem	PossConc11_PossKA_NStem
we_n_gingqi	PossConc1a_NPrePre9_BPre9_NStem	PossConc1a_BPre9_NStem	PossConc1a_NPrePre9_BPre9_NStem	PossConc1a_BPre9_NStem
a_pho	Dem16_Pos2	PossConc6_CDEMLOC	Dem16_Pos2	PossConc6_PossPron
i_zi_dingo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem
za_ba_hlali	PossConc2_NPrePre2_BPre2_NStem	PossConc10_BPre2_NStem	PossConc2_NPrePre2_BPre2_NStem	PossConc10_BPre2_NStem
zi_nga_qal_is_a	SC8_Pot_VRoot_CausExt_VerbTerm	SC10_Pot_VRoot_CausExt_VerbTerm	SC8_Pot_VRoot_CausExt_VerbTerm	SC10_Pot_VRoot_CausExt_VerbTerm
u_kw_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm
khona	Adv	Adv	Adv	Adv
.	Punc	PUNC	Punc	PUNC
U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
ng_a_ma_bakal_a	AdvPre_NPrePre6_BPre6_NStem	CopPre_NPrePre6_BPre6_NStem_VerbTerm	AdvPre_NPrePre6_BPre6_NStem	CopPre_NPrePre6_BPre6_VRoot_VerbTerm
e_Mephu	PossConc6_NPrePre9_NStem	LocPre_ProperName	PossConc6_NPrePre9_NStem	LocPre_ProperName
ye_n_dlel_a	PossConc9_NPrePre9_BPre9_NStem	PossConc9_BPre9_VRoot_VerbTerm	PossConc9_NPrePre9_BPre9_NStem	PossConc9_BPre9_VRoot_VerbTerm
ngo_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_BPre15_VRoot_CausExt_VerbTerm
i_dath_a	NPrePre9_NStem	SC9_VRoot_VerbTerm	NPrePre9_NStem	SC9_VRoot_VerbTerm
projektha	NStem	NStem	NStem	NStem
,	Punc	PUNC	Punc	PUNC
okanye	Conj	Conj	Conj	Conj
i_projektha	NPrePre9_NStem	NPrePre9_NStem	NPrePre9_NStem	NPrePre9_NStem
e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm
phezu	Adv	Adv	Adv	Adv
kwe_e_n_tloko	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre9_NStem	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre9_BPre9_NStem
.	Punc	PUNC	Punc	PUNC
Xa	Conj	Conj	Conj	Conj
u_nge_na_ba_thathi__n_xaxheba	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	CopPre_NegPre_CopPre_BPre2_NStem_BPre9_NStem	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	CopPre_NegPre_CopPre_BPre2_NStem_BPre9_NStem
u_nga_sebenz_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	SC3_Pot_VRoot_CausExt_VerbTerm	SC2_Pot_VRoot_CausExt_VerbTerm	SC1_Pot_VRoot_CausExt_VerbTerm
a_ma_nqaku	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
esi_fundo	PossConc6_NPrePre7_BPre7_NStem	RelConc7_NStem	PossConc6_NPrePre7_BPre7_NStem	RelConc7_NStem
abo	PossConc6_PronStem2	CDEM02	PossConc6_PronStem2	CDEM02
,	Punc	PUNC	Punc	PUNC
i_phepha	NPrePre5_BPre5_NStem	NPrePre5_NStem	NPrePre5_BPre5_NStem	NPrePre5_NStem
la_ma__52	PossConc5_BPre6_Num	PossConc5_BPre6_Num	PossConc5_BPre6_Num	PossConc5_BPre6_Num
u_ku_landela	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_NStem	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_NStem
i_n_kcazelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
.	Punc	PUNC	Punc	PUNC
Ng_oku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_RelConc15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_RelConc15_VRoot_CausExt_VerbTerm
i_sa_zobe	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem
u_chong_a	SC2pp_VRoot_VerbTerm	SC1a_VRoot_VerbTerm	SC2pp_VRoot_VerbTerm	SC1a_VRoot_VerbTerm
i_bakal_a	NPrePre5_BPre5_NStem	SC9_VRoot_VerbTerm	NPrePre5_BPre5_NStem	SC5_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem
.	Punc	PUNC	Punc	PUNC
U_thetha_thethwano	NPrePre11_NStem_NStem	NPrePre11_NStem_NStem	NPrePre11_NStem_NStem	NPrePre11_NStem_NStem
y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem
a_pho	Dem16_Pos2	PossConc6_PossPron	Dem16_Pos2	PossConc6_PossPron
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
a_phikis_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm
ngezi_phumo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre8	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre10
ez_ahluken_e_yo	RelConc8_VRoot_VerbTerm_RelSuf	RelConc10_VRoot_VerbTerm_RelSuf	RelConc8_VRoot_VerbTerm_RelSuf	RelConc10_VRoot_VerbTerm_RelSuf
e_ku_fikelel_w_e	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	RelConc9_SC15_VRoot_PassExt_VerbTerm	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	RelConc9_SC15_VRoot_PassExt_VerbTerm
ku_zo	LocPre_PronStem8	LocPre_PronStem10	LocPre_PronStem8	LocPre_PronStem10
e_ku_fuman_e_ni	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf
i_si_phumo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem
kwaye	Conj	Conj	Conj	Conj
a_se_no_kw_ab_el_an_a	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_AdvPre_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_AdvPre_BPre15_VRoot_ApplExt_RecipExt_VerbTerm
ngo_lw_az_i	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm	AdvPre_NPrePre11_BPre11_NStem	AdvPre_BPre11_VRoot_VerbTerm
,	Punc	PUNC	Punc	PUNC
u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm
i_n_gxaki	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
,	Punc	PUNC	Punc	PUNC
u_ku_hlangabez_ana	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_DimSuf	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_DimSuf
,	Punc	PUNC	Punc	PUNC
u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm
no_ku_rhweb_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm
nge_zi_khundla	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	AdvPre_BPre8_NStem
,	Punc	PUNC	Punc	PUNC
xa	Conj	Conj	Conj	Conj
