morphemes	target	prediction	morphemes_predseg	prediction_predseg
u_ku_setyenz_is_w_a	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	u_ku_setyenz_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
.	Punc	Punc	.	Punc
I_zi_gaba	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	I_zi_gaba	NPrePre8_BPre8_NStem
nge_zi_gaba	AdvPre_BPre8_NStem	AdvPre_BPre8_NStem	nge_zi_gaba	AdvPre_BPre8_NStem
zo_m_jikelo	PossConc8_BPre3_NStem	PossConc8_BPre3_NStem	zo_m_jikelo	PossConc8_BPre3_NStem
we_projekthi	PossConc3_NStem	PossConc3_NStem	we_projekthi	PossConc3_NStem
zi_se_no_kwahluk_a	SC10_Pro_AdvPre_VRoot_VerbTerm	SC8_ProgPre_Pot_VRoot_VerbTerm	zi_se_no_kw_ahluk_a	SC8_ProgPre_AdvPre_BPre15_VRoot_VerbTerm
nge_n_dlela	AdvPre_BPre9_NStem	AdvPre_BPre9_NStem	nge_n_dlel_a	AdvPre_BPre9_VRoot_VerbTerm
ez_ahlul_a-_hlul_w_a	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	ez_ahlul_a__hlul_w_a	RelConc10_NStem_VerbTerm_VerbTerm_VRoot_PassExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem4	nga_yo	AdvPre_PronStem9
na_ng_a_ma_gama	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_CopPre_NPrePre6_BPre6_NStem	na_ng_a_ma_gama	AdvPre_CopPre_NPrePre6_BPre6_NStem
a_zo	PossConc6_PronStem10	RelConc6_PronStem10	a_zo	RelConc6_PronStem10
,	Punc	Punc	,	Punc
ng_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem	ng_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem
be_n_kxaso-_mali	PossConc2_BPre9_NStem_NStem	PossConc2_BPre9_NStem_NStem	be_n_kxaso__mali	Past_BPre9_NStem_BPre10_NStem
okanye	Conj	Conj	okanye	Conj
ng_okwa_ma_sebe	AdvPre_AdvPre_BPre6_NStem	AdvPre_AdvPre_BPre6_NStem	ng_okw_a_ma_sebe	AdvPre_AdvPre_NPrePre6_BPre6_NStem
ka_rhulumente	PossKA_NStem	PossKA_NStem	ka_rhulumente	PossKA_NStem
.	Punc	Punc	.	Punc
I_ngaba	SC9_Interrog	SC9_Interrog	I_ngaba	SC9_Interrog
a_ma_khosikazi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_khosikazi	NPrePre6_BPre6_NStem
a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm
na_yo	AdvPre_PronStem4	AdvPre_PronStem9	na_yo	AdvPre_PronStem9
na_yi_phi	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem	na_yi_phi	AdvPre_EnumConc9_EnumStem
na	Interrog	Interrog	na	Interrog
i_mi_qobo	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_qobo	NPrePre4_BPre4_NStem
okanye	Conj	Conj	okanye	Conj
i_zi_thintelo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_thintelo	NPrePre8_BPre8_NStem
e_ku_thath_e_ni	LocPre_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf	e_ku_thath_e_ni	LocPre_BPre15_VRoot_VerbTerm_LocSuf
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_xaxheba	NPrePre9_BPre9_NStem
kw_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	kw_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem
ye_n_kqubo	PossConc4_BPre9_NStem	PossConc4_BPre9_NStem	ye_n_kqubo	PossConc4_BPre9_NStem
?	Punc	Punc	?	Punc
A_ma_doda	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	A_ma_doda	NPrePre6_BPre6_NStem
wo_na	PronStem6_PronSuf	PronStem3_PronSuf	wo_na	PronStem3_PronSuf
?	Punc	Punc	?	Punc
Ukuba	Conj	Conj	U_kuba	NPrePre15_Conj
ku_njalo	CopPre_Adv	CopPre_Adv	ku_njalo	CopPre_Adv
,	Punc	Punc	,	Punc
olu_phi	RelConc11_EnumStem	RelConc11_EnumStem	olu_phi	RelConc11_EnumStem
u_hlobo	NPrePre11_NStem	NPrePre11_NStem	u_hlobo	NPrePre11_NStem
?	Punc	Punc	?	Punc
I_Batho	NPrePre9_ProperName	NPrePre9_ProperName	I_Batho	NPrePre9_ProperName
Pele	ProperName	ProperName	Pele	ProperName
i_ding_a	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	i_dinga	NPrePre9_NStem
ukuba	Conj	Conj	u_kuba	NPrePre1a_Conj
'	Punc	Punc	'	Punc
wo_nke	QuantConc1_QuantStem	QuantConc1_QuantStem	wo_nke	QuantConc1_QuantStem
u_m_ntu	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	u_m_ntu	NPrePre1_BPre1_NStem
o_sebenz_a	RelConc1_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm	o_sebenz_a	RelConc1_VRoot_VerbTerm
kw_i_n_konzo	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	kw_i_n_konzo	LocPre_NPrePre9_BPre9_NStem
yo_lu_ntu	PossConc9_BPre11_NStem	PossConc9_BPre11_NStem	yo_lu_ntu	PossConc9_BPre11_NStem
a_be	CopPre_Cop	CopPre_Cop	a_be	SC9_AuxVStem
ne_qhayiya	AdvPre_NStem	AdvPre_NStem	ne_qhayi_ya	AdvPre_VRoot_AuxVStem
ngo_kuba	AdvPre_Conj	AdvPre_Conj	ngo_kuba	AdvPre_Conj
ng_u_m_khonzi	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre3_BPre3_NStem	ng_u_m_khonzi	CopPre_NPrePre3_BPre3_NStem
wa_ba_ntu	PossConc1_BPre2_NStem	PossConc3_BPre2_NStem	wa_ba_ntu	PossConc3_BPre2_NStem
'	Punc	Punc	'	Punc
ukuze	Conj	Conj	u_kuze	NPrePre11_NStem
i_mi_thetho-_si_seko	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_BPre7_NStem	i_mi_thetho__si_se_ko	NPrePre4_BPre4_NStem_CopPre_CopPre_Pro_PronStem15
esi_bhozo	RelConc7_NStem	RelConc7_RelStem	esi_bhozo	RelConc7_NStem
e_m_is_w_e	RelConc4_VRoot_CausExt_PassExt_VerbTerm	RelConc4_VRoot_CausExt_PassExt_VerbTerm	e_m_is_w_e	RelConc4_VRoot_CausExt_PassExt_VerbTerm
ku_wiso-_m_thetho	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem	ku_wiso__m_thetho	CopPre_NStem_VerbTerm_BPre3_NStem
i_be	CopPre_Cop	CopPre_Cop	i_be	CopPre_Cop
s_i_si_seko	CopPre_NPrePre7_BPre7_NStem	CopPre_NPrePre7_BPre7_NStem	s_i_si_se_ko	CopPre_NPrePre7_CopPre_NStem_PronStem15
esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem	esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem
wo_phuhliso	PossConc3_NStem	PossConc3_NStem	wo_phuhliso	PossConc3_NStem
lu_ka_rhulumente	PossConc11_PossKA_NStem	PossConc11_PossKA_NStem	lu_ka_rhulumente	PossConc11_PossKA_NStem
we_n_gingqi	PossConc1a_BPre9_NStem	PossConc1_BPre9_NStem	we_n_gingqi	PossConc1_BPre9_NStem
apho	Dem16	Dem16	a_pho	PossConc6_NStem
i_zi_dingo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_dingo	NPrePre8_BPre8_NStem
za_ba_hlali	PossConc2_BPre2_NStem	PossConc8_BPre2_NStem	za_ba_hlali	PossConc8_BPre2_NStem
zi_nga_qal_is_a	SC8_Pot_VRoot_CausExt_VerbTerm	SC8_Pot_VRoot_CausExt_VerbTerm	zi_nga_qal_is_a	SC8_Pot_VRoot_CausExt_VerbTerm
u_kw_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	u_kw_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm
khona	Adv	Adv	khona	Adv
.	Punc	Punc	.	Punc
U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
nga_ma_bakala	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem	ng_a_ma_bakal_a	AdvPre_Past_BPre6_VRoot_VerbTerm
e_Mephu	PossConc6_NStem	PossConc6_NStem	e_Mephu	LocPre_NStem
ye_n_dlela	PossConc9_BPre9_NStem	PossConc9_BPre9_NStem	ye_n_dlel_a	PossConc9_BPre9_VRoot_VerbTerm
ngo_ku_sebenz_is_a	AdvPre_BPre15_VRoot_CausExt_VerbTerm	AdvPre_BPre15_VRoot_CausExt_VerbTerm	ngo_ku_sebenz_is_a	AdvPre_BPre15_VRoot_CausExt_VerbTerm
i_datha	NPrePre9_NStem	NPrePre9_NStem	i_dath_a	SC9_VRoot_VerbTerm
projektha	NStem	NStem	projektha	NStem
,	Punc	Punc	,	Punc
okanye	Conj	Conj	okanye	Conj
i_projektha	NPrePre9_NStem	NPrePre9_NStem	i_projektha	NPrePre9_NStem
e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm	SC9_VRoot_CausExt_VerbTerm	e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm
phezu	Adv	Adv	phezu	Adv
kwe_e_n_tloko	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwe_e_n_tloko	PossConc15_NPrePre10_BPre10_NStem
.	Punc	Punc	.	Punc
Xa	Conj	Conj	Xa	Conj
u_nge_na_ba_thathi-_n_xaxheba	CopPre_NegPre_CopPre_BPre2_NStem_BPre9_NStem	CopPre_NegPre_CopPre_BPre2_NStem_BPre9_NStem	u_nge_na_ba_thathi__n_xaxheba	CopPre_NegPre_CopPre_BPre2_NStem_NStem_BPre9_NStem
u_nga_sebenz_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	SC_Pot_VRoot_CausExt_VerbTerm	u_nga_sebenz_is_a	SC3_Pot_VRoot_CausExt_VerbTerm
a_ma_nqaku	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_nqaku	NPrePre6_BPre6_NStem
e_si_fundo	PossConc6_BPre7_NStem	PossConc6_BPre7_NStem	esi_fundo	AdjPref7_NStem
a_bo	PossConc6_PronStem2	PossConc6_PronStem2	abo	Dem2
,	Punc	Punc	,	Punc
i_phepha	NPrePre5_NStem	NPrePre5_NStem	i_phepha	NPrePre5_NStem
la_ma-_52	PossConc5_BPre6_Num	PossConc5_BPre6_Num	la_ma__52	PossConc5_BPre6_NStem_NStem
u_ku_landel_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_landela	NPrePre15_BPre15_NStem
i_n_kcazelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_kcazelo	NPrePre9_BPre9_NStem
.	Punc	Punc	.	Punc
Ngo_ku_sebenz_is_a	AdvPre_BPre15_VRoot_CausExt_VerbTerm	AdvPre_BPre15_VRoot_CausExt_VerbTerm	Ng_oku_sebenz_is_a	AdvPre_RelConc15_VRoot_CausExt_VerbTerm
i_sa_zobe	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_sa_zobe	NPrePre7_BPre7_NStem
u_chong_a	SC_VRoot_VerbTerm	SC1a_VRoot_VerbTerm	u_chong_a	SC1a_VRoot_VerbTerm
i_bakala	NPrePre5_NStem	NPrePre5_NStem	i_bakal_a	SC9_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem	nga_li_nye	AdvPre_EnumConc5_EnumStem
.	Punc	Punc	.	Punc
U_thetha_thethwano	NPrePre11_NStem_NStem	NPrePre11_NStem_NStem	U_thetha_thethwano	NPrePre11_NStem_NStem
y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem
apho	Dem16	Dem16	a_pho	NPrePre6_NStem
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_qela	NPrePre6_BPre6_NStem
a_phikis_an_a	SC6_VRoot_RecipExt_VerbTerm	RelConc6_VRoot_RecipExt_VerbTerm	a_phikis_an_a	RelConc6_VRoot_RecipExt_VerbTerm
nge_zi_phumo	AdvPre_BPre8_NStem	AdvPre_BPre8_NStem	ngezi_phumo	PossConc6_NStem
ez_ahluken_e_yo	RelConc8_VRoot_VerbTerm_RelSuf	RelConc8_VRoot_VerbTerm_RelSuf	ez_ahluken_e_yo	RelConc10_VRoot_VerbTerm_RelSuf
e_ku_fikelel_w_e	LocPre_BPre15_VRoot_PassExt_VerbTerm	RelConc9_SC15_VRoot_PassExt_VerbTerm	e_ku_fikelel_w_e	RelConc9_SC15_VRoot_PassExt_VerbTerm
ku_zo	LocPre_PronStem8	LocPre_PronStem10	ku_zo	LocPre_PronStem10
e_ku_fuman_e_ni	LocPre_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf	e_ku_fuman_e_ni	LocPre_BPre15_VRoot_VerbTerm_LocSuf
i_si_phumo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_phumo	NPrePre7_BPre7_NStem
kwaye	Conj	Conj	kwaye	Conj
a_se_no_kw_ab_el_an_a	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_AdvPre_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	a_se_no_kw_ab_el_an_a	SC6_Pro_AdvPre_BPre15_VRoot_ApplExt_RecipExt_VerbTerm
ngo_lw_azi	AdvPre_BPre11_NStem	AdvPre_BPre11_NStem	ngo_lw_az_i	AdvPre_BPre11_VRoot_VerbTerm
,	Punc	Punc	,	Punc
u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm
i_n_gxaki	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_gxaki	NPrePre9_BPre9_NStem
,	Punc	Punc	,	Punc
u_ku_hlangabez_an_a	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	u_ku_hlangabez_ana	NPrePre15_BPre15_NStem_DimSuf
,	Punc	Punc	,	Punc
u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm
no_ku_rhweb_a	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm	no_ku_rhweb_a	AdvPre_BPre15_VRoot_VerbTerm
nge_zi_khundla	AdvPre_BPre8_NStem	AdvPre_BPre8_NStem	nge_zi_khundla	AdvPre_BPre8_NStem
,	Punc	Punc	,	Punc
xa	Conj	Conj	xa	Conj
ku_fanel_ek_il_e	SC15_VRoot_NeutExt_Perf_VerbTerm	SC15_VRoot_NeutExt_Perf_VerbTerm	ku_fanel_ek_ile	SC15_VRoot_NeutExt_Perf
,	Punc	Punc	,	Punc
e_ku_xolelanis_e_ni	LocPre_BPre15_VRoot_VerbTerm_LocSuf	LocPre_BPre15_VRoot_VerbTerm_LocSuf	e_ku_xolelan_is_e_ni	LocPre_BPre15_VRoot_CausExt_VerbTerm_LocSuf
i_mi_dla	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_dla	NPrePre4_BPre4_NStem
.	Punc	Punc	.	Punc
U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	U_kw_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	aba_ntu	RelConc2_NStem
ng_oku_banzi	AdvPre_RelConc15_RelStem	AdvPre_RelConc15_RelStem	ngo_ku_banzi	AdvPre_BPre15_RelStem
-	Punc	Punc	_	AdvPre_NPrePre9
sebenz_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	sebenz_is_a	VRoot_CausExt_VerbTerm
i_in_dlela	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_in_dlel_a	NPrePre10_BPre10_VRoot_VerbTerm
zo_kw_az_is_a	PossConc10_BPre15_VRoot_CausExt_VerbTerm	PossConc10_BPre15_VRoot_CausExt_VerbTerm	zo_kw_az_is_a	PossConc10_BPre15_VRoot_CausExt_VerbTerm
i_i_Komiti	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_i_Komiti	NPrePre10_BPre10_NStem
ze_Wadi	PossConc10_NStem	PossConc10_NStem	ze_Wadi	PossConc10_NStem
,	Punc	Punc	,	Punc
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_qela	NPrePre6_BPre6_NStem
a_ba_hlali	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	aba_hlali	RelConc2_NStem
,	Punc	Punc	,	Punc
i_zi_phatha-_mandla	NPrePre8_BPre8_NStem_NStem	NPrePre8_BPre8_NStem_NStem	i_zi_phath_a__ma_ndla	NPrePre8_BPre10_VRoot_VerbTerm_BPre10_BPre6_NStem
zo_m_thomnyama	PossConc8_BPre3_NStem	PossConc10_BPre3_NStem	zo_m_thom_nyama	PossConc10_BPre3_NStem_NStem
ne_e_n_kokeli	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	ne_e_n_kokeli	AdvPre_NPrePre10_BPre10_NStem
ze_zim_vo	PossConc8_BPre8_NStem	PossConc10_BPre8_NStem	ze_zim_vo	PossConc10_BPre8_NStem
ngo_ku_th_i	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm	ngo_ku_th_i	AdvPre_BPre15_VRoot_VerbTerm
ku_za	SC15_AuxVStem	SC15_AuxVStem	ku_z_a	BPre15_VRoot_VerbTerm
ku_qhuty_w_a	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	ku_qhuty_w_a	SC15_VRoot_PassExt_VerbTerm
i_n_kqubo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_kqubo	NPrePre9_BPre9_NStem
ye-_CBP	PossConc9_Abbr	PossConc9_Abbr	ye__CBP	PossConc9_BPre10_Abbr
.	Punc	Punc	.	Punc
E_ma_phandle_ni	LocPre_BPre6_NStem_LocSuf	LocPre_BPre6_NStem_LocSuf	Ema_phandle_ni	Num_NStem_LocSuf
ba_nga_ba	CopPre_Pot_Cop	CopPre_Pot_Cop	ba_ng_aba	CopPre_CopPre_Dem2
ne_e_wadi	CopPre_NPrePre10_NStem	AdvPre_NPrePre10_NStem	ne_e_wadi	AdvPre_NPrePre10_NStem
ezin_kulu	AdjPref10_AdjStem	AdjPref10_AdjStem	ezin_kulu	AdjPref10_AdjStem
na_ba_ntu	AdvPre_BPre2_NStem	AdvPre_BPre2_NStem	na_ba_ntu	AdvPre_BPre2_NStem
