morphemes	target	prediction	target_canon	prediction_canon
e_bek_w_e	SC6_VRoot_PassExt_VerbTerm	RelConc4_VRoot_PassExt_VerbTerm	SC6_VRoot_PassExt_VerbTerm	SC6_VRoot_PassExt_VerbTerm
e_bu_jam_e_ini	LocPre_SC14_VRoot_VerbTerm_LocSuf	LocPre_SC14_VRoot_VerbTerm_LocSuf	LocPre_SC14_VRoot_VerbTerm_LocSuf	LocPre_SC14_VRoot_VerbTerm_LocSuf
obu_vunyelweko	RelConc14_NStem	RelConc14_NStem	RelConc14_NStem	RelConc14_NStem
begodu	Conj	Conj	Conj	Conj
ku_zoku_ba	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_VRoot_VerbTerm
no_mehluko	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem
ngi_tjh_o	SC1ps_VRoot_VerbTerm	SC1_VRoot_VerbTerm	SC1ps_VRoot_VerbTerm	OC1_VRoot_VerbTerm
na_hlanga_ana	AdvPre_NStem_DimSuf	AdvPre_NStem_DimSuf	AdvPre_NStem_DimSuf	AdvPre_NStem_DimSuf
na_i_mi_fuziselo	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem
e_mi_nyango_eni	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf
ka_rhulumende	PossConc6_NStem	PossKA_NStem	PossConc6_NStem	PossKA_NStem
.	Punc	Punc	Punc	Punc
a_ma_lunga	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
w_e_komidi	PossConc1_LocPre_NStem	PossConc1_LocPre_NStem	PossConc1_LocPre_NStem	PossConc1_NStem
ye_wadi	PossConc4_NStem	PossConc4_NStem	PossConc4_NStem	PossConc4_NStem
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm
a_zi_jayez_e	RelConc6_SC8_Intrans_VerbTerm	RelConc6_OC8_Intrans_VerbTerm	RelConc6_SC8_Intrans_VerbTerm	SC6_OC8_Intrans_VerbTerm
nga_lawulo	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	AdvPre_NPre5_NStem
lo_i_mu_zombe	Dem1a_Pos1_NPrePre10_BPre10_NStem	PossConc5_NPrePre10_BPre10_NStem	Dem1a_Pos1_NPrePre10_BPre10_NStem	PossConc5_NPrePre10_BPre10_NStem
w_e_phrojekthi	PossConc1a_LocPre_NStem	PossConc3_LocPre_NStem	PossConc1a_LocPre_NStem	PossConc1a_LocPre_NStem
(	Punc	Punc	Punc	Punc
i_PCM	NPrePre4_Abbr	NPrePre4_Abbr	NPrePre4_Abbr	NPrePre4_Abbr
)	Punc	Punc	Punc	Punc
njenga_omu_bana	AdvPre_AdjPref1_AdjStem	AdvPre_AdjPref1_AdjStem	AdvPre_AdjPref1_AdjStem	AdvPre_AdjPref1_AdjStem
lo	Dem3_Pos1		Dem3_Pos1	
,	Punc	Punc	Punc	Punc
ku_mfuziselo	BPre15_NStem	BPre15_NStem	BPre15_NStem	BPre15_NStem
o_setjenziswa	RelConc3_NStem	RelConc3_NStem	RelConc3_NStem	RelConc3_NStem
qho	NStem	NStem	NStem	NStem
.	Punc	Punc	Punc	Punc
u_ku_hlukaniswa	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
na_u_ku_nikel_w_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_a_ma_gama	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NStem
kwe_e_n_teji	PossConc15_LocPre_BPre3_NStem	PossConc15_LocPre_BPre3_NStem	PossConc15_LocPre_BPre3_NStem	PossConc15_LocPre_BPre3_NStem
na_mtjhana	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	Conj
i_in_gaba	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem
za_u_mu_zombe	PossConc8_NPrePre10_BPre10_NStem	PossConc8_NPrePre10_BPre10_NStem	PossConc8_NPrePre10_BPre10_NStem	PossConc8_NPrePre10_BPre10_NStem
we_phrojekthi	PossConc1a_NStem	PossConc1a_NStem	PossConc1a_NStem	PossConc3_LocPre_NStem
ku_nga_hluk_a	OC15_AdvPre_VRoot_VerbTerm	SC15_AdvPre_VRoot_VerbTerm	OC15_AdvPre_VRoot_VerbTerm	SC15_Pot_VRoot_VerbTerm
ku_y_a	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
nga_ejensi	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem
e_sekel_a	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm
nge_e_mali	AdvPre_LocPre_NStem	AdvPre_LocPre_NStem	AdvPre_LocPre_NStem	AdvPre_LocPre_NStem
na_mtjhana	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	Conj
u_m_nyango	NPrePre1_BPre1_NStem	NPrePre3_BPre1_NStem	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem
ka_rhulumende	PossConc6_NStem	PossConc4_NStem	PossConc6_NStem	PossConc4_NStem
.	Punc	Punc	Punc	Punc
a_bo_mma	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem
khe	NStem	PronStem1	NStem	PronStem1
ba_qalan_a	SC2_VRoot_VerbTerm	CopPre_VRoot_VerbTerm	SC2_VRoot_VerbTerm	CopPre_VRoot_VerbTerm
yi_ni	CopPre_Interrog	CopPre_Interrog	CopPre_Interrog	CopPre_Interrog
na_u_bu_jamo	AdvPre_NPrePre15_BPre15_NStem	AdvPre_NPrePre14_BPre14_NStem	AdvPre_NPrePre15_BPre15_NStem	AdvPre_NPrePre14_BPre14_NStem
obu_thileko	RelConc14_NStem	RelConc14_NStem	RelConc14_NStem	RelConc14_NStem
obu_namagandelelo	RelConc14_NStem	RelConc14_NStem	RelConc14_NStem	RelConc14_AdvPre_BPre6_NStem
namkha	Conj	Conj	Conj	Conj
obu_ne_e_nqabo	RelConc14_AdvPre_LocPre_NStem	RelConc14_AdvPre_LocPre_NStem	RelConc14_AdvPre_LocPre_NStem	RelConc14_AdvPre_LocPre_LocPre_BPre9_NStem
e_ku_hlanganyela_eni	LocPre_BPre15_NStem_LocSuf	LocPre_BPre15_NStem_LocSuf	LocPre_BPre15_NStem_LocSuf	LocPre_BPre15_NStem_LocSuf
e_i_mi_sebenzi_ini	LocPre_NPrePre4_BPre4_NStem_LocSuf	LocPre_NPrePre4_BPre4_NStem_LocSuf	LocPre_NPrePre4_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf
y_a_a_ma_phrogremu	PossConc1a_LocPre_NPrePre6_BPre6_NStem	PossConc1a_LocPre_NPrePre6_BPre6_NStem	PossConc1a_LocPre_NPrePre6_BPre6_NStem	PossConc4_BPre6_NStem
na	Interrog	Interrog	Interrog	Interrog
?	Punc	Punc	Punc	Punc
a_bo_baba	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem	NPrePre2a_BPre2a_NStem
bona	AbsPron2	AbsPron2	AbsPron2	AbsPron2
ke	Conj	Conj	Conj	Conj
?	Punc	Punc	Punc	Punc
nangabe	Conj	Conj	Conj	Conj
ku_njalo	SC15_Adv	SC15_Adv	SC15_Adv	SC15_Adv
nga_u_ku_njani	AdvPre_BPre15_BPre15_NStem	AdvPre_NPrePre15_BPre15_Adv	AdvPre_BPre15_BPre15_NStem	AdvPre_NPrePre15_BPre15_Adv
?	Punc	Punc	Punc	Punc
i_Batho	NPrePre4_ProperName	NPrePre4_ProperName	NPrePre4_ProperName	NPrePre9_NStem
Pele	ProperName	ProperName	ProperName	NStem
i_fun_a	SC5_VRoot_VerbTerm	SC4_VRoot_VerbTerm	SC5_VRoot_VerbTerm	SC4_VRoot_VerbTerm
'	Punc	Punc	Punc	Punc
bo_ke	QuantConc2_QuantStem	QuantConc2_QuantStem	QuantConc2_QuantStem	QuantConc2_QuantStem
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem
aba_s_e_m_sebenzini	RelConc2_PreLoc-s_LocPre_BPre3_NStem	RelConc2_PreLoc-s_LocPre_BPre3_NStem	RelConc2_PreLoc-s_LocPre_BPre3_NStem	RelConc2_PreLoc-s_LocPre_NStem_LocSuf
wa_u_mu_buso	PossConc3_NPrePre3_BPre3_NStem	PossConc6_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem	PossConc6_NPrePre3_BPre3_NStem
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	SC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm
ba_zi_khakhaz_is_e	PossConc2_SC8_VRoot_CausExt_VerbTerm	PossConc2_SC8_VRoot_CausExt_VerbTerm	PossConc2_SC8_VRoot_CausExt_VerbTerm	PossConc2_SC8_VRoot_CausExt_VerbTerm
ngokuba	Conj	Conj	Conj	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
zi_in_sebenzi	BPre10_BPre8_NStem	BPre8_BPre8_NStem	BPre10_BPre8_NStem	BPre8_BPre8_NStem
ezi_siza	RelConc8_NStem	RelConc8_NStem	RelConc8_NStem	RelConc10_VRoot_VerbTerm
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem
'	Punc	Punc	Punc	Punc
begodu	Conj	Conj	Conj	Conj
na_i_mi_gomo	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem
e_bunane	LocPre_NStem	LocPre_NStem	LocPre_NStem	RelConc9_VRoot_VerbTerm
e_vez_w_e	RelConc4_VRoot_PassExt_VerbTerm	RelConc4_VRoot_PassExt_VerbTerm	RelConc4_VRoot_PassExt_VerbTerm	RelConc4_VRoot_PassExt_VerbTerm
e_m_thetho_eni	RelConc9_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	RelConc9_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf
i_bumb_a	SC4_VRoot_VerbTerm	SC9_VRoot_VerbTerm	SC4_VRoot_VerbTerm	NPrePre4_NStem
i_si_sekelo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem
hlanga_ana	NStem_DimSuf	NStem_DimSuf	NStem_DimSuf	NStem_DimSuf
na_lapha	AdvPre_Dem16_Pos1	AdvPre	AdvPre_Dem16_Pos1	AdvPre
i_li_qiniso	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem
eli_qal_an_ile	RelConc5_VRoot_RecipExt_Perf	RelConc5_VRoot_RecipExt_Perf	RelConc5_VRoot_RecipExt_Perf	RelConc5_VRoot_RecipExt_Perf
na_u_ku_thuthuk_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
u_rhulumende	NPrePre1a_NStem	NPrePre1a_NStem	NPrePre1a_NStem	NPrePre1a_NStem
wa_i_n_ndawo	PossConc3_NPrePre9_BPre9_NStem	PossConc1_NPrePre9_BPre9_NStem	PossConc3_NPrePre9_BPre9_NStem	PossConc1_NPrePre9_BPre9_NStem
mayelana	NStem	NStem	NStem	NStem
ne_e_n_dingo	AdvPre_LocPre_BPre9_NStem	AdvPre_LocPre_BPre9_NStem	AdvPre_LocPre_BPre9_NStem	AdvPre_LocPre_BPre9_NStem
za_u_mu_phakathi	PossConc8_NPrePre3_BPre3_NStem	PossConc10_NPrePre3_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem	PossConc10_NPrePre3_BPre3_NStem
wa_i_n_ndawo	PossConc1a_NPrePre9_BPre9_NStem	PossConc1_NPrePre9_BPre9_NStem	PossConc1a_NPrePre9_BPre9_NStem	PossConc1_NPrePre9_BPre9_NStem
ezi_nga_thom_a	RelConc10_AdvPre_VRoot_VerbTerm	RelConc10_AdvPre_VRoot_VerbTerm	RelConc10_AdvPre_VRoot_VerbTerm	RelConc10_AdvPre_VRoot_VerbTerm
u_ku_enzek_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_NeutExt_VerbTerm
.	Punc	Punc	Punc	Punc
ye_thula	PossConc4_NStem	PossConc4_NStem	PossConc4_NStem	PossConc4_NStem
i_in_gaba	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem	NPrePre8_NPre8_NStem
ze_ndlela	Pres_NStem	PossConc8_NStem	Pres_NStem	PossConc10_NPrePre9_BPre9_NStem
yo_ku_siza	PossConc9_BPre15_NStem	PossConc9_BPre15_NStem	PossConc9_BPre15_NStem	PossConc9_BPre15_NStem
u_ku_phumelelisa	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
i_dathaphrojektha	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem
,	Punc	Punc	Punc	Punc
li_nani_ana	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf
i_overhead	NPrePre4_NStem	NPrePre4_Foreign	NPrePre4_NStem	NPrePre4_NStem
projector	Foreign	Foreign	Foreign	Foreign
.	Punc	Punc	Punc	Punc
lokha	Conj	Conj	Conj	Conj
nangabe	Conj	Conj	Conj	Conj
aku_na_ba_hlanganyeli	NegPre_AdvPre_BPre2_NStem	NegPre_AdvPre_BPre2_NStem	NegPre_AdvPre_BPre2_NStem	NegPre_AdvPre_SC2_VRoot_VerbTerm
,	Punc	Punc	Punc	Punc
u_nga_sebenzisa	NPrePre1a_NegPre_NStem	NPrePre1a_NegPre_NStem	NPrePre1a_NegPre_NStem	NPrePre1a_NegPre_NStem
a_ma_nothi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
wa_bo	PossConc3_PronStem2	PossConc3_PronStem2	PossConc3_PronStem2	PossConc3_PronStem2
w_e_khoso	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem
,	Punc	Punc	Punc	Punc
i_li_khasi	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem
la_ma_52	SC3_BPre6_Num	SC3_BPre6_Num	SC3_BPre6_Num	SC3_BPre6_Num
u_ku_(i)z_w_is_is_a	NPrePre15_BPre15_VRoot_PassExt_CausExt_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_CausExt_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_CausExt_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_CausExt_CausExt_VerbTerm
ku_hle	AdjPref15_AdjStem	AdjPref15_AdjStem	AdjPref15_AdjStem	AdjPref15_AdjStem
i_hlathululo	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem
.	Punc	Punc	Punc	Punc
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
i_dayagramu	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem	NPrePre4_NStem
,	Punc	Punc	Punc	Punc
khomb_a	VRoot_VerbTerm	VRoot_VerbTerm	VRoot_VerbTerm	NStem
i_si_gaba	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem
esi_nye	AdjPref7_AdjStem	AdjPref7_AdjStem	AdjPref7_AdjStem	AdjPref7_AdjStem
na_esi_nye	AdvPre_AdjPref7_AdjStem	AdvPre_AdjPref7_AdjStem	AdvPre_AdjPref7_AdjStem	AdvPre_AdjPref7_AdjStem
.	Punc	Punc	Punc	Punc
u_ku_khulum_is_an_a	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm
yi_kambiso	CopPre_NStem	CopPre_NStem	CopPre_NStem	CopPre_NStem
lapho	Dem16_Pos2		Dem16_Pos2	
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem
aba_bandakany_ek_a_ko	RelConc2_VRoot_NeutExt_VerbTerm_RelSuf	RelConc2_VRoot_NeutExt_VerbTerm_RelSuf	RelConc2_VRoot_NeutExt_VerbTerm_RelSuf	RelConc2_VRoot_NeutExt_VerbTerm_RelSuf
ba_lw_el_a	SC2_VRoot_ApplExt_VerbTerm	SC2_VRoot_ApplExt_VerbTerm	SC2_VRoot_ApplExt_VerbTerm	SC2_VRoot_VerbTerm
i_mi_phumela	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
e_hlukahlukile_ko	RelConc9_NStem_RelSuf	RelConc9_NStem_RelSuf	RelConc9_NStem_RelSuf	RelConc9_NStem_RelSuf
u_ku_zama	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem
u_ku_thol_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm
u_mu_phumela	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem
o_ku_vunyelwan_a	SC3_OC15_VRoot_VerbTerm	SC9_OC15_VRoot_VerbTerm	SC3_OC15_VRoot_VerbTerm	RelConc15_VRoot_VerbTerm
nga_wo	AdvPre_PronStem3	AdvPre_PronStem3	AdvPre_PronStem3	AdvPre_PronStem3
begodu	Conj	Conj	Conj	Conj
ku_s_e_se_njalo	BPre15_PreLoc-s_LocPre_AdvPre_NStem	BPre15_PreLoc-s_LocPre_AdvPre_NStem	BPre15_PreLoc-s_LocPre_AdvPre_NStem	BPre15_NStem
ku_nga_ab_el_w_an_a	BPre15_AdvPre_VRoot_ApplExt_PassExt_RecipExt_VerbTerm	BPre15_Pot_VRoot_ApplExt_PassExt_RecipExt_VerbTerm	BPre15_AdvPre_VRoot_ApplExt_PassExt_RecipExt_VerbTerm	SC15_AdvPre_VRoot_ApplExt_PassExt_RecipExt_VerbTerm
nga_lwazi	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem
,	Punc	Punc	Punc	Punc
u_ku_rarulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_NStem
u_m_raro	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem
,	Punc	Punc	Punc	Punc
u_ku_(i)z_w_an_a	NPrePre15_BPre15_VRoot_PassExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_RecipExt_VerbTerm
ngo_ku_lis_a	AdvPre_OC15_VRoot_VerbTerm	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_OC15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
o_khu_nye	RelConc3_EnumConc5_EnumStem	RelConc3_EnumConc5_EnumStem	RelConc3_EnumConc5_EnumStem	RelConc3_EnumConc5_EnumStem
,	Punc	Punc	Punc	Punc
lapho	Dem16_Pos2		Dem16_Pos2	
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm	OC15_VRoot_ApplExt_VerbTerm
kho_na	PronStem15_PronSuf	PronStem15_PronSuf	PronStem15_PronSuf	PronStem15_PronSuf
u_ku_buy_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_NStem
i_in_kareko	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre4_NStem
.	Punc	Punc	Punc	Punc
u_ku_az_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
kwa_a_ba_ntu	PossConc15_NPrePre2_BPre2_NStem	PossConc15_NPrePre2_BPre2_NStem	PossConc15_NPrePre2_BPre2_NStem	PossConc15_NPrePre2_BPre2_NStem
-	Punc	Punc	Punc	Punc
sebenzis_a	VRoot_VerbTerm	VRoot_VerbTerm	VRoot_VerbTerm	VRoot_CausExt_VerbTerm
i_in_dlela	NPrePre10_NPre10_NStem	NPrePre10_NPre10_NStem	NPrePre10_NPre10_NStem	NPrePre10_NPre10_NStem
e_za_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf
u_ku_az_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
a_ma_komidi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
we_wadi	PossConc6_NStem	PossConc6_NStem	PossConc6_NStem	PossConc6_NStem
,	Punc	Punc	Punc	Punc
i_mi_phakathi	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
,	Punc	Punc	Punc	Punc
i_mi_busositjhaba	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
ya_ba_rholi	PossConc9_BPre2_NStem	PossConc4_BPre2_NStem	PossConc9_BPre2_NStem	PossConc4_BPre2_NStem
