morphemes	target	prediction
lo_wu_ent_a	RelConc1_OC1_VRoot_VerbTerm	PronStem5_SC3_Adv_VerbTerm
u_mu_sebenti	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
wa_hulumende	PossConc3_NStem	PossConc3_NStem
ku_mel_e	SC15_VRoot_VerbTerm	LocPre_ProperName_VerbTerm
a_ti_<?unk?>_e	SC1_ReflPre_VRoot_VerbTerm	VerbTerm_BPre8_NStem_VerbTerm
nge_ku_ba	AdvPre_BPre15_AuxVStem	AdvPre_LocPre_AuxVStem
si_sebenti	BPre7_NStem	BPre7_NStem
sa_ba_ntfu	PossConc7_BPre2_NStem	PossConc7_AuxVStem_NStem
kantsi	Conj	Conj
i_mi_gomosisekelo	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
lesi_phohlongo	RelConc7_NStem	Dem7_NStem
le_s_e_mu_tsetfo_ini	RelConc4_PreLoc-s_LocPre_BPre3_NStem_LocSuf	RelConc4_PossConc7_VerbTerm_BPre3_NStem_LocSuf
i_ent_a	SC4_VRoot_VerbTerm	VerbTerm_Adv_VerbTerm
si_sekelo	BPre7_NStem	BPre7_NStem
lapho	Conj	Conj
ku_tfutfuk_a	BPre15_VRoot_VerbTerm	LocPre_Conj_VerbTerm
kwa_bo_hulumende	PossConc15_BPre2a_NStem	PossConc15_PronStem2_NStem
ba_s_e_li_khaya	PossConc2a_PreLoc-s_LocPre_BPre5_NStem	AuxVStem_PossConc7_VerbTerm_BPre5_NStem
loku_condz_is_w_e	RelConc15_VRoot_CausExt_PassExt_VerbTerm	Dem15_VRoot_CausExt_CopPre_VerbTerm
ku_ti_dzingo	BPre17_BPre10_NStem	LocPre_BPre8_NStem
ta_u_ma_mango	PossConc8_NPrePre3_BPre3_NStem	PossConc8_NPrePre1a_BPre6_NStem
wa_n_dzawo	PossConc3_BPre9_NStem	PossConc3_BPre9_NStem
ku_tawu_condz_is_w_a	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	LocPre_Fut_VRoot_CausExt_CopPre_VerbTerm
khona	Adv	Conj
.	Punc	Punc
ngen_is_a	VRoot_CausExt_VerbTerm	Adv_CausExt_VerbTerm
ti_gaba	BPre8_NStem	BPre8_NStem
ta_mvila-balave	PossConc8_NStem	PossConc8_NStem
u_sebent_is_a	SC1_VRoot_CausExt_VerbTerm	NPrePre1a_VRoot_CausExt_VerbTerm
i_data	BPre9_Foreign	VerbTerm_Foreign
projektha	NStem	NStem
,	Punc	Punc
nobe	Conj	Conj
i_projektha	NPre9_NStem	VerbTerm_NStem
ye_<?unk?>	PossConc9_Foreign	PossConc4_NStem
.	Punc	Punc
uma	Conj	Conj
ni_<?unk?>_ko	SC2pp_NegPre_PronStem15	Interrog_NStem_PronStem15
laba_ngen_el_e	RelConc2_VRoot_ApplExt_VerbTerm	Dem2_Adv_ApplExt_VerbTerm
ti_fundvo	BPre8_NStem	BPre8_NStem
ba_nga_sebent_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	AuxVStem_AdvPre_VRoot_CausExt_VerbTerm
e_ma_notsi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
a_bo	PossConc6_PronStem14	VerbTerm_PronStem2
a_si_fundvo	PossConc6_BPre7_NStem	VerbTerm_BPre7_NStem
,	Punc	Punc
li_khasi	BPre5_NStem	BPre5_NStem
<?unk?>	Num	NStem
ku_landzel_a	BPre15_VRoot_VerbTerm	LocPre_Conj_VerbTerm
i_n_chazelo	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
.	Punc	Punc
phawul_a	VRoot_VerbTerm	NStem_VerbTerm
leso	Dem7	Dem7
na_leso	AdvPre_Dem7	AdvPre_Dem7
si_gaba	BPre7_NStem	BPre7_NStem
u_sebent_is_a	SC2ps_VRoot_CausExt_VerbTerm	NPrePre1a_VRoot_CausExt_VerbTerm
lo_m_dvwebo	Dem3_BPre3_NStem	PronStem5_BPre3_NStem
.	Punc	Punc
ku_khulum_is_an_a	BPre15_VRoot_CausExt_RecipExt_VerbTerm	LocPre_Abbr_CausExt_RecipExt_VerbTerm
yi_i_n_chubo	CopPre_NPrePre9_BPre9_NStem	CopPre_VerbTerm_BPre9_NStem
ya_ku_ts_i	PossConc9_BPre15_VRoot_VerbTerm	PossConc9_LocPre_RelConc4_VerbTerm
e_ma_cembu	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
la_lw_el_a	PossConc6_VRoot_ApplExt_VerbTerm	PossConc5_PossConc11_ApplExt_VerbTerm
i_mi_phumela	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
le_ye_ehluk_en_e	RelConc4_Pres_VRoot_RecipExt_VerbTerm	RelConc4_PossConc4_LocPre_RecipExt_VerbTerm
a_lw_ile	SC6_VRoot_Perf	VerbTerm_PossConc11_Perf
u_mu_phumela	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
la_vum_el_an_ile	RelConc6_VRoot_ApplExt_RecipExt_Perf	PossConc5_NStem_ApplExt_RecipExt_Perf
nga_wo	AdvPre_PronStem6	AdvPre_PronStem6
,	Punc	Punc
nga_leyo_n_dlela	AdvPre_Dem9_BPre9_NStem	AdvPre_Dem4_BPre9_NStem
ba_shiy_el_an_e	SC2_VRoot_ApplExt_RecipExt_VerbTerm	AuxVStem_Adv_ApplExt_RecipExt_VerbTerm
lu_ati	BPre11_NStem	BPre11_NStem
,	Punc	Punc
ku_sombulul_a	BPre15_VRoot_VerbTerm	LocPre_NStem_VerbTerm
tin_kinga	BPre10_NStem	BPre10_NStem
,	Punc	Punc
ba_sebent_is_an_e	SC2_VRoot_CausExt_RecipExt_VerbTerm	AuxVStem_VRoot_CausExt_RecipExt_VerbTerm
,	Punc	Punc
ba_hlangan_e	SC2_VRoot_VerbTerm	AuxVStem_NStem_VerbTerm
ba_niket_an_e	SC2_VRoot_RecipExt_VerbTerm	AuxVStem_Abbr_RecipExt_VerbTerm
ti_khundla	BPre8_NStem	BPre8_NStem
,	Punc	Punc
ba_fun_e	SC2_VRoot_VerbTerm	AuxVStem_NStem_VerbTerm
,	Punc	Punc
lapho	Adv	Conj
ku_nga_khon_akal_a	SC15_Pot_VRoot_NeutExt_VerbTerm	LocPre_AdvPre_NStem_NeutExt_VerbTerm
,	Punc	Punc
ku_hlangan_is_a	BPre15_VRoot_CausExt_VerbTerm	LocPre_NStem_CausExt_VerbTerm
i_n_tsandvo	NPrePre9_BPre9_NStem	VerbTerm_BPre9_Adv
.	Punc	Punc
ta_ku_<?unk?>_a	PossConc10_BPre15_VRoot_VerbTerm	PossConc8_LocPre_NStem_VerbTerm
-	Punc	Punc
sebent_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm
lu_chungechunge	BPre11_NStem	BPre11_NStem
kwa_tin_dlela	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem
ta_ku_at_is_a	PossConc10_OC15_VRoot_CausExt_VerbTerm	PossConc8_LocPre_NStem_CausExt_VerbTerm
e_ma_komidi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
e_ma_wadi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
,	Punc	Punc
i_mi_mango	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
,	Punc	Punc
ba_holi	BPre2_NStem	AuxVStem_NStem
ba_i_n_dzabuko	PossConc2_NPrePre9_BPre9_NStem	AuxVStem_VerbTerm_BPre9_NStem
kanye	Conj	Conj
ne_ba_holi	AdvPre_BPre2_NStem	Ideoph_AuxVStem_NStem
ba_mi_bono	PossConc2_BPre4_NStem	AuxVStem_BPre4_NStem
nga_kutsi	AdvPre_Conj	AdvPre_Conj
ku_tawu_ba	SC15_Fut_AuxVStem	LocPre_Fut_AuxVStem
khona	Adv	Conj
i_n_chubo	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
ya_CBP	PossConc9_Abbr	PossConc9_Abbr
.	Punc	Punc
e_tin_dzawo_ini	LocPre_BPre10_NStem_LocSuf	VerbTerm_BPre10_NStem_LocSuf
ta_s_e_ma_dolobha_ini	PossConc10_PreLoc-s_LocPre_BPre6_NStem_LocSuf	PossConc8_PossConc7_VerbTerm_BPre6_NStem_LocSuf
e_ma_lunga	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
eli_komidi	RelConc5_NStem	RelConc5_NStem
le_li_wadi	Dem4_BPre5_NStem	RelConc4_BPre5_NStem
ku_mel_e	SC15_VRoot_VerbTerm	LocPre_ProperName_VerbTerm
a_<?unk?>	NPrePre6_NStem	VerbTerm_NStem
li_cembu	BPre5_NStem	BPre5_NStem
la_loku_<?unk?>_e	PossConc5_RelConc15_Intrans_VerbTerm	PossConc5_Dem15_NStem_VerbTerm
,	Punc	Punc
nga_kwa_si_bonelo	AdvPre_PossConc15_BPre7_NStem	AdvPre_PossConc15_BPre7_NStem
,	Punc	Punc
e_ma_cembu	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
e_ta_in_kholo	LocPre_PossConc10_BPre9_NStem	VerbTerm_PossConc8_NPre9_NStem
,	Punc	Punc
tin_hlangano	BPre10_NStem	BPre10_NStem
ta_bo_make	PossConc8_BPre2_VerbTerm	PossConc8_PronStem2_NStem
,	Punc	Punc
tin_hlangano	BPre10_NStem	BPre10_NStem
ta_laba_sha	PossConc8_AdjPref2_AdjStem	PossConc8_Dem2_Adv
,	Punc	Punc
i_ncenye	NPrePre9_NStem	VerbTerm_NStem
ye_te_m_philo	PossConc4_PossConc8_BPre3_NStem	PossConc4_PossConc8_BPre3_NStem
,	Punc	Punc
e_ma_cembu	LocPre_BPre6_NStem	VerbTerm_BPre6_NStem
e_te_mi_dlalo	PossConc6_PossConc10_BPre4_NStem	VerbTerm_PossConc8_BPre4_NStem
,	Punc	Punc
ba_hlali	BPre2_NStem	AuxVStem_NStem
,	Punc	Punc
tin_hlangano	BPre10_NStem	BPre10_NStem
t_e_<?unk?>	PossConc10_LocPre_NStem	PossConc10_VerbTerm_NStem
be_ts_el_a	CopPre_VRoot_VerbExt_VerbTerm	AuxVStem_RelConc4_ApplExt_VerbTerm
ya_masipala	PossConc4_NStem	PossConc9_NStem
.	Punc	Punc
u_mu_tsetfo	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
wa_e_ma_lungelo	PossConc3_NPrePre6_BPre6_NStem	PossConc3_VerbTerm_BPre6_NStem
u_faka	NPrePre1a_NStem	NPrePre1a_NStem
e_khatsi	LocPre_Adv	VerbTerm_Adv
e_ma_lungelo	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
e_m_notfo	LocPre_BPre3_NStem	VerbTerm_BPre3_NStem
na_n_hlalakahle	AdvPre_BPre9_NStem	AdvPre_BPre9_Adv
,	Punc	Punc
e_uku_hlal_a	LocPre_BPre15_VRoot_VerbTerm	VerbTerm_BPre15_NStem_VerbTerm
e_n_dzawo_ini	LocPre_NPre9_NStem_LocSuf	VerbTerm_BPre9_NStem_LocSuf
le_<?unk?>_ile	PossConc5_VRoot_Perf	RelConc4_NStem_Perf
,	Punc	Punc
ku_tfol_a	SC15_VRoot_VerbTerm	LocPre_VRoot_VerbTerm
i_n_dzawo	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
<?unk?>	NStem	NStem
ya_ku_lal_a	PossConc9_SC15_VRoot_VerbTerm	PossConc9_LocPre_Abbr_VerbTerm
,	Punc	Punc
ku_b_a	SC15_VRoot_VerbTerm	LocPre_Foreign_VerbTerm
dvute	NStem	NStem
ne_tin_sita	AdvPre_BPre10_NStem	Ideoph_BPre10_NStem
te_m_tfolamphilo	PossConc8_BPre3_NStem	PossConc8_BPre3_NStem
,	Punc	Punc
ku_dla	BPre15_NStem	LocPre_NStem
loku_enel_e	RelConc15_VRoot_VerbTerm	Dem15_NStem_VerbTerm
,	Punc	Punc
na_manti	AdvPre_NStem	AdvPre_NStem
.	Punc	Punc
u_mu_gomo	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
wa_masipala	PossConc3_NStem	PossConc3_NStem
lo_wu_setjentis_w_a	RelConc3_OC3_VRoot_PassExt_VerbTerm	PronStem5_SC3_SC6_CopPre_VerbTerm
ku_sungul_a	BPre15_VRoot_VerbTerm	LocPre_NStem_VerbTerm
leli_komidi	Dem5_NStem	Dem5_NStem
le_li_wadi	PossConc5_BPre5_NStem	RelConc4_BPre5_NStem
nobe	Conj	Conj
ti_miso	BPre10_NStem	BPre8_NStem
ta_ku_ti_phats_a	PossConc8_OC15_ReflPre_VRoot_VerbTerm	PossConc8_LocPre_BPre8_Adv_VerbTerm
kumele	AuxVStem	AuxVStem
ku_nik_e	SC15_VRoot_VerbTerm	LocPre_Foreign_VerbTerm
li_tfuba	BPre5_NStem	BPre5_NStem
la_ku_ent_a	PossConc5_OC15_VRoot_VerbTerm	PossConc5_LocPre_Adv_VerbTerm
loku	Dem15	Dem15
.	Punc	Punc
lo_u_mu_gomo	Dem1_NPrePre4_BPre3_NStem	PronStem5_NPrePre1a_BPre3_NStem
u_phindz_e	SC3_VRoot_VerbTerm	NPrePre1a_NStem_VerbTerm
u_dzing_a	SC3_VRoot_VerbTerm	NPrePre1a_Num_VerbTerm
kutsi	Conj	Conj
u_vikel_e	SC3_VRoot_VerbTerm	NPrePre1a_PossConc5_VerbTerm
leli_komidi	Dem5_NStem	Dem5_NStem
le_li_wadi	PossConc5_BPre5_NStem	RelConc4_BPre5_NStem
kutsi	Conj	Conj
ba_mu_busave	PossConc2_BPre3_NStem	AuxVStem_BPre3_NStem
ba_nga_fak_i	SC2_NegPre_VRoot_VerbTerm	AuxVStem_AdvPre_NStem_VerbTerm
lu_<?unk?>	BPre11_NStem	BPre11_NStem
lolu_bi	AdjPref11_AdjStem	Dem11_AdjStem
.	Punc	Punc
u_ent_a	SC2ps_VRoot_VerbTerm	NPrePre1a_Adv_VerbTerm
i_ni	NPrePre4_Interrog	VerbTerm_Interrog
le_yi_ent_a	RelConc9_OC9_VRoot_VerbTerm	RelConc4_CopPre_Adv_VerbTerm
ku_be	SC15_AuxVStem	LocPre_AuxVStem
lu_<?unk?>	AdvPre_Adv	BPre11_NStem
ku_chum_an_a	BPre15_VRoot_RecipExt_VerbTerm	LocPre_Adv_RecipExt_VerbTerm
?	Punc	Punc
fundz_a	VRoot_VerbTerm	NStem_VerbTerm
nasi	Dem7	Dem7
si_bonelo	BPre7_NStem	BPre7_NStem
lesi_landzela_ko	RelConc7_NStem_RelSuf	Dem7_NStem_PronStem15
.	Punc	Punc
u_mu_buto	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
3	Num	Num
yini	Interrog	Interrog
tin_chubo	BPre10_NStem	BPre10_NStem
leti_balulek_ile	RelConc10_VRoot_Perf	Dem10_Interrog_Perf
ta_ku_landz_elel_a	PossConc10_OC15_VRoot_IntensExt_VerbTerm	PossConc8_LocPre_NStem_IntensExt_VerbTerm
ne_ku_hlol_a	AdvPre_SC15_VRoot_VerbTerm	Ideoph_LocPre_Abbr_VerbTerm
leti_dzing_ek_a_ko	RelConc10_VRoot_NeutExt_VerbTerm_RelSuf	Dem10_Num_NPas_VerbTerm_PronStem15
ku_cinisek_a	BPre15_VRoot_VerbTerm	LocPre_Adv_VerbTerm
nga_kwe_tful_w_a	AdvPre_OC15_VRoot_PassExt_VerbTerm	AdvPre_PossConc15_Num_CopPre_VerbTerm
kwe_tin_sita	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem
,	Punc	Punc
yini	Interrog	Interrog
tin_zuzo	BPre10_NStem	BPre10_NStem
leti_nga_tfol_akal_a	RelConc10_Pot_VRoot_NeutExt_VerbTerm	Dem10_AdvPre_VRoot_NeutExt_VerbTerm
nga_ku_kal_a	AdvPre_OC15_VRoot_VerbTerm	AdvPre_LocPre_NStem_VerbTerm
i_n_chubo	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
?	Punc	Punc
lu_hlaka	BPre11_NStem	BPre11_NStem
lwa_ku_phats_w_a	PossConc11_OC15_VRoot_PassExt_VerbTerm	PossConc11_LocPre_Adv_CopPre_VerbTerm
kwa_i_n_velo	PossConc15_NPrePre9_BPre9_NStem	PossConc15_VerbTerm_BPre9_NStem
.	Punc	Punc
i_n_tfutfuko	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
le_na_u_mu_tselela	RelConc9_AdvPre_NPrePre3_BPre3_NStem	RelConc4_AdvPre_NPrePre1a_BPre3_NStem
lo_bon_akal_a_ko	RelConc3_VRoot_NeutExt_VerbTerm_RelSuf	PronStem5_Abbr_NeutExt_VerbTerm_PronStem15
ku_te_m_velo	BPre17_PossConc10_BPre3_NStem	LocPre_PossConc8_BPre3_NStem
nobe	Conj	Conj
i_mi_tselela	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
ku_ten_hlalo	BPre17_BPre10_NStem	LocPre_BPre10_NStem
ku_mel_e	SC15_VRoot_VerbTerm	LocPre_ProperName_VerbTerm
i_lingan_is_w_e	SC4_VRoot_CausExt_PassExt_VerbTerm	VerbTerm_Abbr_CausExt_CopPre_VerbTerm
nga_ku_esek_el_a	AdvPre_OC15_VRoot_ApplExt_VerbTerm	AdvPre_LocPre_NStem_ApplExt_VerbTerm
ku_tfutfuk_is_a	BPre15_VRoot_CausExt_VerbTerm	LocPre_Conj_CausExt_VerbTerm
e_tin_dzawo_ini	LocPre_BPre10_NStem_LocSuf	VerbTerm_BPre10_NStem_LocSuf
leti_hamb_is_an_a	RelConc8_VRoot_CausExt_RecipExt_VerbTerm	Dem10_Adv_CausExt_RecipExt_VerbTerm
na_to	AdvPre_PronStem8	AdvPre_PronStem10
.	Punc	Punc
ku_ti_bandzakany_a	BPre15_ReflPre_VRoot_VerbTerm	LocPre_BPre8_NStem_VerbTerm
kwe_m_mango	PossConc15_BPre3_NStem	PossConc15_BPre3_NStem
e_ku_sebent_a_ini	LocPre_BPre15_VRoot_VerbTerm_LocSuf	VerbTerm_LocPre_VRoot_VerbTerm_LocSuf
kwa_masipala	PossConc15_NStem	PossConc15_NStem
ku_cin_is_w_a	SC15_VRoot_CausExt_PassExt_VerbTerm	LocPre_Conj_CausExt_CopPre_VerbTerm
ku_sebent_a	BPre15_VRoot_VerbTerm	LocPre_VRoot_VerbTerm
kwe_ma_komidi	PossConc15_BPre6_NStem	PossConc15_BPre6_NStem
a_li_wadi	PossConc6_BPre5_NStem	VerbTerm_BPre5_NStem
,	Punc	Punc
ku_ne_si_dzingo	LocPre_AdvPre_BPre7_NStem	LocPre_Ideoph_BPre7_NStem
se_mtsetfo	PossConc7_NStem	PossConc7_NStem
sa_masipala	PossConc7_NStem	PossConc7_NStem
kutsi	Conj	Conj
a_fak_e	SC1_VRoot_VerbTerm	VerbTerm_NStem_VerbTerm
e_khatsi	LocPre_Adv	VerbTerm_Adv
u_mu_mango	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_NStem
we_in_dzawo	PossConc3_NPre9_NStem	PossConc3_NPre9_NStem
,	Punc	Punc
nga_ku_sebent_is_a	AdvPre_OC15_VRoot_CausExt_VerbTerm	AdvPre_LocPre_VRoot_CausExt_VerbTerm
e_ma_komidi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
a_li_wadi	PossConc6_BPre5_NStem	VerbTerm_BPre5_NStem
,	Punc	Punc
e_ku_bek_a_ini	LocPre_OC15_VRoot_VerbTerm_LocSuf	VerbTerm_LocPre_NegPre_VerbTerm_LocSuf
e_ma_KPI	NPrePre6_BPre6_Abbr	VerbTerm_BPre6_Abbr
ne_tin_hloso	AdvPre_BPre10_NStem	Ideoph_BPre10_NStem
te_ku_sebent_a	PossConc10_OC15_VRoot_VerbTerm	PossConc8_LocPre_VRoot_VerbTerm
,	Punc	Punc
na_ku_ent_a	AdvPre_BPre15_VRoot_VerbTerm	AdvPre_LocPre_Adv_VerbTerm
si_ciniseko	BPre7_NStem	BPre7_NStem
se_ku_ti_bandzakany_a	PossConc7_BPre15_ReflPre_VRoot_VerbTerm	PossConc7_LocPre_BPre8_NStem_VerbTerm
kwe_m_mango	PossConc15_BPre3_NStem	PossConc15_BPre3_NStem
e_ku_landz_elel_a_ini	LocPre_BPre15_VRoot_IntensExt_VerbTerm_LocSuf	VerbTerm_LocPre_NStem_IntensExt_VerbTerm_LocSuf
na_s_e_ku_buyeket_a_ini	AdvPre_PreLoc-s_LocPre_BPre15_VRoot_VerbTerm_LocSuf	AdvPre_PossConc7_VerbTerm_LocPre_NStem_VerbTerm_LocSuf
.	Punc	Punc
ku_gcugcut_el_a	SC15_VRoot_ApplExt_VerbTerm	LocPre_NStem_ApplExt_VerbTerm
imi_mango	NPre4_NStem	NPre4_NStem
ya_bo	PossConc4_PronStem2	PossConc9_PronStem2
,	Punc	Punc
