morphemes	target	prediction
a_bo_mma	NPrePre2a_BPre2a_NStem	VerbTerm_PossConc2_Adv
khe	NStem	PronStem1
ba_qalan_a	SC2_VRoot_VerbTerm	PossConc2_Adv_VerbTerm
yi_ni	CopPre_Interrog	CopPre_Interrog
na_u_bu_jamo	AdvPre_NPrePre15_BPre15_NStem	Interrog_NPrePre1a_BPre14_NStem
obu_thileko	RelConc14_NStem	RelConc14_NStem
obu_<?unk?>	RelConc14_NStem	RelConc14_Foreign
namkha	Conj	Conj
obu_ne_e_<?unk?>	RelConc14_AdvPre_LocPre_NStem	RelConc14_AdvPre_VerbTerm_Foreign
e_ku_hlanganyela_eni	LocPre_BPre15_NStem_LocSuf	VerbTerm_BPre15_VerbTerm_LocSuf
e_i_mi_sebenzi_ini	LocPre_NPrePre4_BPre4_NStem_LocSuf	VerbTerm_VerbTerm_BPre4_NStem_LocSuf
y_a_a_ma_phrogremu	PossConc1a_LocPre_NPrePre6_BPre6_NStem	PossConc9_VerbTerm_VerbTerm_BPre6_NStem
na	Interrog	Interrog
?	Punc	Punc
a_bo_baba	NPrePre2a_BPre2a_NStem	VerbTerm_PossConc2_NStem
bona	AbsPron2	AbsPron2
ke	Conj	Conj
?	Punc	Punc
nangabe	Conj	Conj
ku_njalo	SC15_Adv	BPre15_Adv
nga_u_ku_njani	AdvPre_BPre15_BPre15_NStem	AdvPre_NPrePre1a_BPre15_Adv
?	Punc	Punc
i_Batho	NPrePre4_ProperName	VerbTerm_ProperName
Pele	ProperName	ProperName
i_fun_a	SC5_VRoot_VerbTerm	VerbTerm_NStem_VerbTerm
'	Punc	Punc
bo_ke	QuantConc2_QuantStem	PossConc2_Conj
a_ba_ntu	NPrePre2_BPre2_NStem	VerbTerm_PossConc2_NStem
aba_s_e_m_sebenzini	RelConc2_PreLoc-s_LocPre_BPre3_NStem	RelConc2_PossConc7_VerbTerm_BPre3_ProperName
wa_u_mu_buso	PossConc3_NPrePre3_BPre3_NStem	PossConc1a_NPrePre1a_BPre1_NStem
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	BPre15_VRoot_ApplExt_VerbTerm
ba_zi_<?unk?>_is_e	PossConc2_SC8_VRoot_CausExt_VerbTerm	PossConc2_NStem_Foreign_CausExt_VerbTerm
<?unk?>	Conj	Foreign
zi_in_sebenzi	BPre10_BPre8_NStem	NStem_Foreign_NStem
ezi_siza	RelConc8_NStem	RelConc10_NStem
a_ba_ntu	NPrePre2_BPre2_NStem	VerbTerm_PossConc2_NStem
'	Punc	Punc
begodu	Conj	Conj
na_i_mi_gomo	AdvPre_NPrePre4_BPre4_NStem	Interrog_VerbTerm_BPre4_NStem
e_<?unk?>	LocPre_NStem	VerbTerm_Foreign
e_vez_w_e	RelConc4_VRoot_PassExt_VerbTerm	VerbTerm_Adv_PossConc1a_VerbTerm
e_m_thetho_eni	RelConc9_BPre3_NStem_LocSuf	VerbTerm_BPre3_NStem_LocSuf
i_bumb_a	SC4_VRoot_VerbTerm	VerbTerm_Adv_VerbTerm
i_si_sekelo	NPrePre7_BPre7_NStem	VerbTerm_BPre7_NStem
hlanga_ana	NStem_DimSuf	NStem_DimSuf
na_lapha	AdvPre_Dem16	Interrog_Dem16
i_li_qiniso	NPrePre5_BPre5_NStem	VerbTerm_BPre5_NStem
eli_qal_an_ile	RelConc5_VRoot_RecipExt_Perf	RelConc5_Adv_RecipExt_Perf
na_u_ku_thuthuk_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	Interrog_NPrePre1a_BPre15_VRoot_CausExt_VerbTerm
u_rhulumende	NPrePre1a_NStem	NPrePre1a_NStem
wa_i_n_ndawo	PossConc3_NPrePre9_BPre9_NStem	PossConc1a_VerbTerm_BPre9_NStem
mayelana	NStem	NStem
ne_e_n_dingo	AdvPre_LocPre_BPre9_NStem	AdvPre_VerbTerm_BPre9_NStem
za_u_mu_phakathi	PossConc8_NPrePre3_BPre3_NStem	PossConc10_NPrePre1a_BPre1_Adv
wa_i_n_ndawo	PossConc1a_NPrePre9_BPre9_NStem	PossConc1a_VerbTerm_BPre9_NStem
ezi_nga_thom_a	RelConc10_AdvPre_VRoot_VerbTerm	RelConc10_AdvPre_NStem_VerbTerm
u_ku_enzek_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre1a_BPre15_NStem_VerbTerm
.	Punc	Punc
ye_thula	PossConc4_NStem	PossConc4_NStem
i_in_gaba	NPrePre8_NPre8_NStem	VerbTerm_Foreign_NStem
ze_ndlela	Pres_NStem	Pres_NStem
yo_ku_siza	PossConc9_BPre15_NStem	PronStem9_BPre15_NStem
u_ku_phumelelisa	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_NStem
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre1a_BPre15_Adv_CausExt_VerbTerm
i_<?unk?>	NPrePre4_NStem	VerbTerm_Foreign
,	Punc	Punc
li_nani_ana	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf
i_<?unk?>	NPrePre4_NStem	VerbTerm_Foreign
projector	Foreign	Foreign
.	Punc	Punc
lokha	Conj	Conj
nangabe	Conj	Conj
aku_na_ba_hlanganyeli	NegPre_AdvPre_BPre2_NStem	NegPre_Interrog_PossConc2_NStem
,	Punc	Punc
u_nga_sebenzisa	NPrePre1a_NegPre_NStem	NPrePre1a_AdvPre_Adv
a_ma_nothi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
wa_bo	PossConc3_PronStem2	PossConc1a_PossConc2
w_e_khoso	PossConc6_LocPre_NStem	PossConc1a_VerbTerm_NStem
,	Punc	Punc
i_li_khasi	NPrePre5_BPre5_NStem	VerbTerm_BPre5_NStem
la_ma_<?unk?>	SC3_BPre6_Num	Dem16_BPre6_Foreign
u_ku_(i)z_w_is_is_a	NPrePre15_BPre15_VRoot_PassExt_CausExt_CausExt_VerbTerm	NPrePre1a_BPre15_NStem_PossConc1a_CausExt_CausExt_VerbTerm
ku_hle	AdjPref15_AdjStem	BPre15_AdjStem
i_hlathululo	NPrePre4_NStem	VerbTerm_NStem
.	Punc	Punc
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre1a_BPre15_Adv_CausExt_VerbTerm
i_dayagramu	NPrePre4_NStem	VerbTerm_NStem
,	Punc	Punc
khomb_a	VRoot_VerbTerm	Adv_VerbTerm
i_si_gaba	NPrePre7_BPre7_NStem	VerbTerm_BPre7_NStem
esi_nye	AdjPref7_AdjStem	RelConc7_AdjStem
na_esi_nye	AdvPre_AdjPref7_AdjStem	Interrog_RelConc7_AdjStem
.	Punc	Punc
u_ku_khulum_is_an_a	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	NPrePre1a_BPre15_NStem_CausExt_RecipExt_VerbTerm
yi_kambiso	CopPre_NStem	CopPre_NStem
lapho	Dem16	Dem16
a_ba_ntu	NPrePre2_BPre2_NStem	VerbTerm_PossConc2_NStem
aba_bandakany_ek_a_ko	RelConc2_VRoot_NeutExt_VerbTerm_RelSuf	RelConc2_NStem_NeutExt_VerbTerm_RelSuf
ba_lw_el_a	SC2_VRoot_ApplExt_VerbTerm	PossConc2_Adv_ApplExt_VerbTerm
i_mi_phumela	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
e_hlukahlukile_ko	RelConc9_NStem_RelSuf	VerbTerm_NStem_RelSuf
u_ku_zama	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_NStem
u_ku_thol_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre1a_BPre15_VRoot_VerbTerm
u_mu_phumela	NPrePre3_BPre3_NStem	NPrePre1a_BPre1_NStem
o_ku_vunyelwan_a	SC3_OC15_VRoot_VerbTerm	VerbTerm_BPre15_NStem_VerbTerm
nga_wo	AdvPre_PronStem3	AdvPre_PronStem3
begodu	Conj	Conj
ku_s_e_se_njalo	BPre15_PreLoc-s_LocPre_AdvPre_NStem	BPre15_PossConc7_VerbTerm_PossConc7_Adv
ku_nga_ab_el_w_an_a	BPre15_AdvPre_VRoot_ApplExt_PassExt_RecipExt_VerbTerm	BPre15_AdvPre_NStem_ApplExt_PossConc1a_RecipExt_VerbTerm
nga_lwazi	AdvPre_NStem	AdvPre_NStem
,	Punc	Punc
u_ku_rarulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre1a_BPre15_NStem_VerbTerm
u_m_raro	NPrePre3_BPre3_NStem	NPrePre1a_BPre3_Adv
,	Punc	Punc
u_ku_(i)z_w_an_a	NPrePre15_BPre15_VRoot_PassExt_RecipExt_VerbTerm	NPrePre1a_BPre15_NStem_PossConc1a_RecipExt_VerbTerm
ngo_ku_lis_a	AdvPre_OC15_VRoot_VerbTerm	AdvPre_BPre15_NStem_VerbTerm
o_khu_nye	RelConc3_EnumConc5_EnumStem	VerbTerm_NStem_AdjStem
,	Punc	Punc
lapho	Dem16	Dem16
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	BPre15_VRoot_ApplExt_VerbTerm
kho_na	PronStem15_PronSuf	PronStem15_Interrog
u_ku_buy_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre1a_BPre15_NStem_CausExt_VerbTerm
i_in_kareko	NPrePre10_BPre10_NStem	VerbTerm_Foreign_NStem
.	Punc	Punc
u_ku_az_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre1a_BPre15_VRoot_CausExt_PossConc1a_VerbTerm
kwa_a_ba_ntu	PossConc15_NPrePre2_BPre2_NStem	PossConc15_VerbTerm_PossConc2_NStem
-	Punc	Punc
sebenzis_a	VRoot_VerbTerm	NStem_VerbTerm
i_in_dlela	NPrePre10_NPre10_NStem	VerbTerm_Foreign_NStem
e_za_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	VerbTerm_PossConc10_NStem_RelSuf
u_ku_az_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre1a_BPre15_VRoot_CausExt_PossConc1a_VerbTerm
a_ma_komidi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
we_wadi	PossConc6_NStem	PossConc3_NStem
,	Punc	Punc
i_mi_phakathi	NPrePre4_BPre4_NStem	VerbTerm_BPre4_Adv
,	Punc	Punc
i_mi_<?unk?>	NPrePre4_BPre4_NStem	VerbTerm_BPre4_Foreign
ya_ba_rholi	PossConc9_BPre2_NStem	PossConc9_PossConc2_NStem
be_ndabuko	PossConc2a_NStem	PossConc2_NStem
ka_nye	AdvPre_AdjStem	AdvPre_AdjStem
na_ba_rholi	AdvPre_BPre2_NStem	Interrog_PossConc2_NStem
aba_siz_a	RelConc2_VRoot_VerbTerm	RelConc2_NStem_VerbTerm
nge_mi_bono	AdvPre_BPre4_NStem	AdvPre_BPre4_NStem
bo_nyana	BPre2_NStem	PossConc2_NStem
i_n_<?unk?>	NPrePre8_BPre8_NStem	VerbTerm_BPre9_Foreign
ye_CBP	PossConc4_Abbr	PossConc4_Abbr
i_zoku_rag_el_a	SC4_Fut_VRoot_ApplExt_VerbTerm	VerbTerm_Fut_NStem_ApplExt_VerbTerm
phambili	Adv	Adv
.	Punc	Punc
i_in_ndawo	NPrePre10_BPre10_NStem	VerbTerm_Foreign_NStem
ze_ma_<?unk?>	PossConc8_BPre6_NStem	Pres_BPre6_Foreign
zi_ngaba	Pres_NStem	NStem_NStem
na_ma_wadi	AdvPre_BPre6_NStem	Interrog_BPre6_NStem
ama_khulu	AdjPref6_AdjStem	AdjPref6_Adv
khulu	Adv	Adv
a_na_ba_ntu	RelConc6_AdvPre_BPre2_NStem	VerbTerm_Interrog_PossConc2_NStem
a_ba_<?unk?>	NPrePre2_BPre2_NStem	VerbTerm_PossConc2_Foreign
ki_wo	LocPre_PronStem6	NStem_PronStem3
wo_ke	QuantConc1_QuantStem	PronStem3_Conj
a_ma_<?unk?>	NPrePre6_BPre6_NStem	VerbTerm_BPre6_Foreign
wa_khona	SC1_Adv	PossConc1a_Adv
ne_ma_<?unk?>	AdvPre_BPre6_NStem	AdvPre_BPre6_Foreign
.	Punc	Punc
ku_ne_e_n_hlangano	LocPre_AdvPre_LocPre_BPre3_NStem	BPre15_AdvPre_VerbTerm_BPre9_NStem
ezi_mbalwa	RelConc10_RelStem	RelConc10_RelStem
<?unk?>	Ideoph	Foreign
e_zi_majadu	LocPre_BPre8_NStem	VerbTerm_NStem_NStem
.	Punc	Punc
i_<?unk?>	NPrePre4_NStem	VerbTerm_Foreign
nga_linye	AdvPre_NStem	AdvPre_NStem
li_nani_ana	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf
i_in_qhema	NPrePre8_NPre8_NStem	VerbTerm_Foreign_NStem
za_ma_plasi	PossConc6_BPre6_NStem	PossConc10_BPre6_NStem
zi_<?unk?>	Pres_NStem	NStem_Foreign
o_zi_jam_el_ek_o	RelConc3_Pres_VRoot_ApplExt_NeutExt_VerbTerm	VerbTerm_NStem_LocPre_ApplExt_NeutExt_VerbTerm
ukobana	Conj	Conj
a_sebenz_e	SC2_VRoot_VerbTerm	VerbTerm_Adv_VerbTerm
ku_komidi	BPre15_NStem	BPre15_NStem
ye_wadi	PossConc4_NStem	PossConc4_NStem
.	Punc	Punc
i_ngo_<?unk?>	NPrePre9_AdvPre_NStem	VerbTerm_AdvPre_Foreign
ya_u_mu_thethosisekelo	PossConc4_NPrePre3_BPre3_NStem	PossConc9_NPrePre1a_BPre1_Adv
<?unk?>	ProperName	Foreign
.	Punc	Punc
i_vikelomalungelo	NPrePre4_NStem	VerbTerm_NStem
li_qinis_a	SC5_VRoot_VerbTerm	BPre5_Conj_VerbTerm
li_nani_ana	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf
li_sekel_a	SC5_VRoot_VerbTerm	BPre5_NStem_VerbTerm
a_ma_lungelo	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
wa_bo	PossConc1_PronStem14	PossConc1a_PossConc2
bo_ke	QuantConc2_QuantStem	PossConc2_Conj
aba_<?unk?>_i	NegPre_VRoot_VerbTerm	RelConc2_Foreign_VerbTerm
ba_i_n_ndawo	PossConc14_NPrePre9_BPre9_NStem	PossConc2_VerbTerm_BPre9_NStem
ka_nye	AdvPre_AdjStem	AdvPre_AdjStem
na_i_zi_akhamuzi	AdvPre_NPrePre8_BPre8_NStem	Interrog_VerbTerm_NStem_NStem
Kobona	Conj	Conj
zi_phath_w_e	SC8_VRoot_PassExt_VerbTerm	NStem_PossConc7_PossConc1a_VerbTerm
nga_u_ku_<?unk?>	NegPre_NPrePre15_BPre15_NStem	AdvPre_NPrePre1a_BPre15_Foreign
begodu	Conj	Conj
nga_i_si_thunzi	AdvPre_NPrePre7_BPre7_NStem	AdvPre_VerbTerm_BPre7_NStem
ku_nga_qal_w_a	BPre15_AdvPre_VRoot_PassExt_VerbTerm	BPre15_AdvPre_Adv_PossConc1a_VerbTerm
u_bu_hlanga	NPrePre14_BPre14_NStem	NPrePre1a_BPre14_NStem
,	Punc	Punc
u_bu_lili	NPrePre14_BPre14_NStem	NPrePre1a_BPre14_NStem
li_nani_ana	BPre5_NStem_DimSuf	BPre5_NStem_DimSuf
i_si_khundla	NPrePre7_BPre7_NStem	VerbTerm_BPre7_NStem
.	Punc	Punc
a_ma_nothi	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
wa_u_mu_thetho	PossConc3_NPrePre3_BPre3_NStem	PossConc1a_NPrePre1a_BPre1_NStem
we_zi_akhiwo	PossConc1a_BPre8_NStem	PossConc3_NStem_NStem
za_ka_masipala	PossConc8_PossKA_NStem	PossConc10_AdvPre_NStem
we_1998	PossConc1_Num	PossConc3_Num
u_na_i_li_lungelo	BPre1_AdvPre_NPrePre5_BPre5_NStem	NPrePre1a_Interrog_VerbTerm_BPre5_NStem
loku_<?unk?>	RelConc15_NStem	RelConc15_Foreign
/	Punc	Punc
loku_<?unk?>	RelConc15_NStem	RelConc15_Foreign
i_komidi	NPrePre4_NStem	VerbTerm_NStem
ye_wadi	PossConc4_NStem	PossConc4_NStem
nangabe	Conj	Conj
ayi_phumelel_i	NegPre_VRoot_VerbTerm	NegPre_NStem_VerbTerm
u_ku_<?unk?>	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_Foreign
i_mi_nqopho	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
ya_yo	PossConc9_PronStem9	PossConc9_PronStem9
.	Punc	Punc
lokhu	Dem15	Dem15
ku_enz_ek_a	BPre15_VRoot_NeutExt_VerbTerm	BPre15_VRoot_NeutExt_VerbTerm
ka_nengi	AdvPre_AdjStem	AdvPre_AdjStem
nangabe	Conj	Conj
i_komidi	NPrePre4_NStem	VerbTerm_NStem
ye_wadi	PossConc4_NStem	PossConc4_NStem
ayi_ka_yi_<?unk?>	NegPre_AdvPre_CopPre_NStem	NegPre_AdvPre_CopPre_Foreign
i_mi_sebenzi	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
ya_yo	PossConc9_PronStem9	PossConc9_PronStem9
.	Punc	Punc
khuyini	Interrog	Interrog
o_ku_enza_ko	RelConc1_BPre15_NStem_RelSuf	VerbTerm_BPre15_NStem_RelSuf
oku_enz_a	RelConc15_VRoot_VerbTerm	RelConc15_VRoot_VerbTerm
ku_b_e	SC15_VRoot_VerbTerm	BPre15_SC2_VerbTerm
budisi	NStem	Adv
u_ku_khulum_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre1a_BPre15_NStem_VerbTerm
?	Punc	Punc
fund_a	VRoot_VerbTerm	NStem_VerbTerm
nga_sehlakalo	AdvPre_NStem	AdvPre_NStem
sa_cala	PossConc7_NStem	PossConc7_NStem
esi_landel_a_ko	RelConc7_VRoot_VerbTerm_RelSuf	RelConc7_PossConc15_VerbTerm_RelSuf
.	Punc	Punc
u_mu_buzo	NPrePre3_BPre3_NStem	NPrePre1a_BPre1_NStem
2	Num	Num
.	Punc	Punc
ngiziphi	Interrog	Interrog
i_in_gcenye	NPrePre10_NPre10_NStem	VerbTerm_Foreign_NStem
ezi_qakathek_ile_ko	RelConc8_VRoot_Perf_RelSuf	RelConc10_SC1a_Perf_RelSuf
oku_mel_e	RelConc15_VRoot_VerbTerm	RelConc15_VRoot_VerbTerm
i_PMS	NPrePre9_Abbr	VerbTerm_Abbr
i_zi_<?unk?>	BPre10_BPre10_NStem	VerbTerm_NStem_Foreign
?	Punc	Punc
u_m_leyo	NPrePre1_BPre1_NStem	NPrePre1a_BPre3_Dem9
wa_u_ku_lawul_w_a	PossConc3_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	PossConc1a_NPrePre1a_BPre15_NegPre_PossConc1a_VerbTerm
kwe_bhoduluko	PossConc15_NStem	PossConc15_NStem
.	Punc	Punc
u_ku_thuthuk_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre1a_BPre15_VRoot_CausExt_VerbTerm
oku_na_i_mi_thelela	RelConc15_AdvPre_NPrePre4_BPre4_NStem	RelConc15_Interrog_VerbTerm_BPre4_NStem
emi_mbi	AdjPref4_AdjStem	AdjPref4_AdjStem
khulu	Adv	Adv
ye_bhoduluko	PossConc9_NStem	PossConc4_NStem
na_i_hlalakuhle	AdvPre_NPre9_NStem	Interrog_VerbTerm_NStem
ku_fan_el_e	SC15_VRoot_ApplExt_VerbTerm	BPre15_VRoot_ApplExt_VerbTerm
bo_nyana	BPre2_NStem	PossConc2_NStem
ku_<?unk?>	BPre15_NStem	BPre15_Foreign
ne_sekelo	AdvPre_NStem	AdvPre_NStem
la_u_ku_enz_a	PossConc5_NPrePre15_BPre15_VRoot_VerbTerm	Dem16_NPrePre1a_BPre15_VRoot_VerbTerm
ngcono	NStem	NStem
i_mi_khakha	NPrePre4_BPre4_NStem	VerbTerm_BPre4_NStem
e_khambelana_ko	RelConc9_NStem_RelSuf	VerbTerm_NStem_RelSuf
.	Punc	Punc
u_ku_hlanganyela	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_VerbTerm
kwa_u_mu_phakathi	PossConc15_NPrePre3_BPre3_NStem	PossConc15_NPrePre1a_BPre1_Adv
wa_i_li_khaya	PossConc1a_NPrePre5_BPre5_NStem	PossConc1a_VerbTerm_BPre5_NStem
e_u_ku_sebenz_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	VerbTerm_NPrePre1a_BPre15_Adv_VerbTerm_LocSuf
kwa_ka_masipala	PossConc15_PossConc1a_NStem	PossConc15_AdvPre_NStem
ku_qinis_ek_is_w_a	OC15_VRoot_NeutExt_CausExt_ApplExt_VerbTerm	BPre15_Conj_NeutExt_CausExt_PossConc1a_VerbTerm
nga_u_ku_sebenza	AdvPre_NPrePre15_BPre15_NStem	AdvPre_NPrePre1a_BPre15_NStem
kwa_ma_komidi	PossConc15_BPre6_NStem	PossConc15_BPre6_NStem
we_wadi	PossConc6_NStem	PossConc3_NStem
begodu	Conj	Conj
ku_ne_funeko	LocPre_AdvPre_NStem	BPre15_AdvPre_NStem
ya_u_mu_thetho	PossConc9_NPrePre3_BPre3_NStem	PossConc9_NPrePre1a_BPre1_NStem
bona	AbsPron2	AbsPron2
u_masipala	NPrePre1a_NStem	NPrePre1a_NStem
a_fak_e	SC6_VRoot_VerbTerm	VerbTerm_VRoot_VerbTerm
i_mi_phakathi	NPrePre4_BPre4_NStem	VerbTerm_BPre4_Adv
ya_i_li_khaya	PossConc4_NPrePre5_BPre5_NStem	PossConc9_VerbTerm_BPre5_NStem
,	Punc	Punc
nga_ma_komidi	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem
we_wadi	PossConc6_NStem	PossConc3_NStem
,	Punc	Punc
nga_u_ku_hlalis_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre1a_BPre15_Conj_VerbTerm
a_ma_KPI	NPrePre6_BPre6_Abbr	VerbTerm_BPre6_Abbr
na_bo_mqothelwa	AdvPre_BPre2a_NStem	Interrog_PossConc2_NStem
ba_u_ku_enz_a	PossConc2_NPrePre15_BPre15_VRoot_VerbTerm	PossConc2_NPrePre1a_BPre15_VRoot_VerbTerm
begodu	Conj	Conj
na_u_ku_enz_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	Interrog_NPrePre1a_BPre15_VRoot_VerbTerm
i_si_qiniseko	NPrePre7_BPre7_NStem	VerbTerm_BPre7_NStem
